codigo,numero,local,autor,partido
3801031,00057,CCJ,Gleisi Hoffmann,PT/PR
3801056,00058,CCJ,Gleisi Hoffmann,PT/PR
3801072,00059,CCJ,Gleisi Hoffmann,PT/PR
3801088,00060,CCJ,Gleisi Hoffmann,PT/PR
3801104,00061,CAE,Gleisi Hoffmann,PT/PR
3801120,00063,CAE,Gleisi Hoffmann,PT/PR
3801136,00062,CAE,Gleisi Hoffmann,PT/PR
3801152,00064,CAE,Gleisi Hoffmann,PT/PR
3801249,00065,CI,Lasier Martins,PDT/RS
3801283,00066,CI,Fernando Bezerra Coelho,PSB/PE
3801326,00067,CEDN,Roberto Muniz,PP/BA
3801342,00069,CEDN,Roberto Muniz,PP/BA
3801358,00068,CEDN,Roberto Muniz,PP/BA
3801392,00073,CEDN,Roberto Muniz,PP/BA
3801408,00077,CEDN,Roberto Muniz,PP/BA
3801424,00075,CEDN,Roberto Muniz,PP/BA
3801440,00070,CEDN,Roberto Muniz,PP/BA
3801456,00072,CEDN,Roberto Muniz,PP/BA
3801472,00071,CEDN,Roberto Muniz,PP/BA
3801488,00074,CEDN,Roberto Muniz,PP/BA
3801504,00079,CEDN,Roberto Muniz,PP/BA
3801520,00076,CEDN,Roberto Muniz,PP/BA
3801536,00078,CEDN,Roberto Muniz,PP/BA
3801561,00080,CEDN,Roberto Muniz,PP/BA
3801694,00081,CEDN,Pedro Chaves,PSC/MS
3801719,00082,CEDN,José Aníbal,PSDB/SP
3801735,00083,CEDN,José Aníbal,PSDB/SP
3801751,00084,CEDN,José Aníbal,PSDB/SP
3801794,00086,CEDN,Paulo Bauer,PSDB/SC
3801810,00085,CEDN,Paulo Bauer,PSDB/SC
3801826,00090,CEDN,Paulo Bauer,PSDB/SC
3801842,00088,CEDN,Paulo Bauer,PSDB/SC
3801858,00089,CEDN,Paulo Bauer,PSDB/SC
3801874,00087,CEDN,Paulo Bauer,PSDB/SC
3801890,00091,CEDN,Paulo Bauer,PSDB/SC
3801933,00095,CEDN,Armando Monteiro,PTB/PE
3801949,00094,CEDN,Armando Monteiro,PTB/PE
3801965,00092,CEDN,Armando Monteiro,PTB/PE
3801981,00093,CEDN,Armando Monteiro,PTB/PE
3801997,00096,CEDN,Simone Tebet,MDB/MS
3802013,00097,CEDN,Rose de Freitas,MDB/ES
3802047,00098,CEDN,Fernando Bezerra Coelho,PSB/PE
3802072,00099,PLEN,Fernando Bezerra Coelho,PSB/PE
3802088,00100,PLEN,José Aníbal,PSDB/SP
3802104,00101,PLEN,José Pimentel,PT/CE
3802120,00102,PLEN,José Pimentel,PT/CE
3802136,00103,PLEN,José Pimentel,PT/CE
3802152,00104,PLEN,José Pimentel,PT/CE
3802168,00105,PLEN,José Pimentel,PT/CE
3802184,00106,PLEN,José Pimentel,PT/CE
3802200,00107,PLEN,José Pimentel,PT/CE
3802216,00108,PLEN,José Pimentel,PT/CE
3802232,00109,PLEN,José Pimentel,PT/CE
3802248,00111,PLEN,José Pimentel,PT/CE
3802264,00112,PLEN,José Pimentel,PT/CE
3802280,00114,PLEN,Humberto Costa,PT/PE
3802296,00115,PLEN,Humberto Costa,PT/PE
3802312,00116,PLEN,Humberto Costa,PT/PE
3802328,00117,PLEN,Humberto Costa,PT/PE
3802344,00118,PLEN,Humberto Costa,PT/PE
3802360,00119,PLEN,Humberto Costa,PT/PE
3802376,00120,PLEN,Humberto Costa,PT/PE
3802392,00121,PLEN,Humberto Costa,PT/PE
3802408,00122,PLEN,Humberto Costa,PT/PE
3802424,00123,PLEN,Humberto Costa,PT/PE
3802440,00124,PLEN,Humberto Costa,PT/PE
3802456,00125,PLEN,Humberto Costa,PT/PE
3802472,00110,PLEN,José Pimentel,PT/CE
3802488,00113,PLEN,Humberto Costa,PT/PE
3802549,00126,PLEN,Antonio Anastasia,PSDB/MG
3802565,00127,PLEN,Antonio Anastasia,PSDB/MG
3802581,00128,PLEN,Antonio Anastasia,PSDB/MG
3802597,00129,PLEN,Antonio Anastasia,PSDB/MG
3802613,00130,PLEN,Antonio Anastasia,PSDB/MG
3802629,00131,PLEN,Antonio Anastasia,PSDB/MG
3802645,00132,PLEN,Antonio Anastasia,PSDB/MG
3802661,00133,PLEN,Paulo Bauer,PSDB/SC
3802677,00134,PLEN,Paulo Bauer,PSDB/SC
3802693,00135,PLEN,Paulo Bauer,PSDB/SC
3802709,00136,PLEN,Paulo Bauer,PSDB/SC
3802725,00137,PLEN,Paulo Bauer,PSDB/SC
3802741,00138,PLEN,Paulo Bauer,PSDB/SC
3802757,00139,PLEN,Paulo Bauer,PSDB/SC
3802773,00140,PLEN,Paulo Bauer,PSDB/SC
3802789,00141,PLEN,Paulo Bauer,PSDB/SC
3802805,00142,PLEN,Jorge Viana,PT/AC
3802821,00143,PLEN,Jorge Viana,PT/AC
3802837,00144,PLEN,Jorge Viana,PT/AC
3802853,00145,PLEN,Hélio José,MDB/DF
3802869,00148,PLEN,Hélio José,MDB/DF
3802885,00149,PLEN,Hélio José,MDB/DF
3802901,00150,PLEN,Hélio José,MDB/DF
3802917,00151,PLEN,Hélio José,MDB/DF
3802933,00147,PLEN,Hélio José,MDB/DF
3802949,00146,PLEN,Hélio José,MDB/DF
3802965,00152,PLEN,Lasier Martins,PDT/RS
3802981,00153,PLEN,Lasier Martins,PDT/RS
3802997,00154,PLEN,Kátia Abreu,MDB/TO
3803013,00155,PLEN,Antonio Anastasia,PSDB/MG
3803029,00156,PLEN,Antonio Anastasia,PSDB/MG
