codigo_tramitacao,numero_autuacao,data_tramitacao,numero_ordem_tramitacao,texto_tramitacao,indicador_recebimento,data_recebimento,origem_tramitacao_local_codigo_local,origem_tramitacao_local_tipo_local,origem_tramitacao_local_sigla_casa_local,origem_tramitacao_local_nome_casa_local,origem_tramitacao_local_sigla_local,origem_tramitacao_local_nome_local,destino_tramitacao_local_codigo_local,destino_tramitacao_local_tipo_local,destino_tramitacao_local_sigla_casa_local,destino_tramitacao_local_nome_casa_local,destino_tramitacao_local_sigla_local,destino_tramitacao_local_nome_local,situacao_codigo_situacao,situacao_sigla_situacao,situacao_descricao_situacao,codigo_materia,sigla_casa_identificacao_materia,nome_casa_identificacao_materia,sigla_subtipo_materia,descricao_subtipo_materia,numero_materia,ano_materia,indicador_tramitando,fase,casa,evento,local
2130654,1,2014-02-11,1,"Recebido na Comissão nesta data.
      
      À SSCLSF, a pedido.",S,NA,59,A,SF,Senado Federal,CI,Comissão de Serviços de Infra-Estrutura,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Recebimento,Comissões,NA,CI
2130686,1,2014-02-11,2,"Anexados, às folhas 736 a 743, os originais das Emendas nºs 44 a 51-Plen, do Senador Lindbergh Farias.
      
      Encaminhado à CI.
      
",S,NA,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,59,A,SF,Senado Federal,CI,Comissão de Serviços de Infra-Estrutura,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Recebimento,Comissões,NA,CI
2130692,1,2014-02-11,3,Recebido na Comissão nesta data.,S,NA,59,A,SF,Senado Federal,CI,Comissão de Serviços de Infra-Estrutura,59,A,SF,Senado Federal,CI,Comissão de Serviços de Infra-Estrutura,87,AGDREL,aguardando_designação_do_relator,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Recebimento,Comissões,NA,CI
2130696,1,2014-02-11,4,"Ao Gabinete do Senador Francisco Dornelles, para relatar a matéria.",S,NA,59,A,SF,Senado Federal,CI,Comissão de Serviços de Infra-Estrutura,59,A,SF,Senado Federal,CI,Comissão de Serviços de Infra-Estrutura,91,RELATOR,matéria_com_a_relatoria,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Análise do relator,Comissões,NA,CI
2143404,1,2014-03-25,1,"Devolvido pelo Gabinete do Senador Francisco Dornelles e encaminhado à SGM, em atendimento aos Ofícios SF/253 e 328/2014 (anexados às folhas 744 e 745), de autoria do Presidente do Senado Federal, que solicitam a remessa da matéria para leitura de requerimento de tramitação conjunta.
      
      À SCLSF.",S,NA,59,A,SF,Senado Federal,CI,Comissão de Serviços de Infra-Estrutura,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Análise do relator,Comissões,NA,CI
2143694,1,2014-03-25,2,"Aguardando leitura dos requerimentos do Senador Eduardo Suplicy: 
      - de tramitação conjunta do PLS nº 20, de 2014, com o PLC nº 32, de 2007, e com os PLS nºs 496, de 2011; 181, 323 e 367, de 2012; 99, 375, 401, 426, 457 e 559, de 2013;
      
      - de tramitação conjunta dos PLS nºs 401 e 559, de 2013.
      
      A leitura se dará quando todas as matérias estiverem sobre a mesa, nos termos do art. 266 do RISF.",S,NA,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,153,A,SF,Senado Federal,ATA-PLEN,SUBSECRETARIA DE ATA - PLENÁRIO,118,AGLEIT(RQ),aguardando_leitura_de_requerimento,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Análise do relator,Comissões,NA,CI
2145268,1,2014-03-26,1,"Leitura do Requerimento nº 285, de 2014, que requer, nos termos do art. 258, do Regimento Interno do Senado Federal, a tramitação em conjunto do PLS nº 401, de 2013, com o PLS nº 559, de 2013, por versarem sobre o mesmo tema. 
      O requerimento lido será incluído em Ordem do Dia oportunamente.",S,NA,153,A,SF,Senado Federal,ATA-PLEN,SUBSECRETARIA DE ATA - PLENÁRIO,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,95,AGINCL(RQ),aguardando_inclusão_ordem_do_dia_de_requerimento,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Análise do relator,Comissões,NA,CI
2146886,1,2014-03-31,1,"Aguardando inclusão em Ordem do Dia do Requerimento nº 285, de 2014, do Senador Eduardo Suplicy, solicitando a tramitação conjunta dos Projetos de Lei do Senado nºs 401 e 559, de 2013, por regularem matéria correlata. 
      
      Votação, em turno único.",S,NA,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,95,AGINCL(RQ),aguardando_inclusão_ordem_do_dia_de_requerimento,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Análise do relator,Comissões,NA,CI
2157610,1,2014-05-07,1,"Incluído na Ordem do Dia da sessão deliberativa ordinária de 08.05.2014, o Requerimento nº 285, de 2014, do Senador Eduardo Suplicy, solicitando a tramitação conjunta dos Projetos de Lei do Senado nºs 401 e 559, de 2013.
      
      Votação, em turno único.
      
      Matéria não apreciada na sessão de 08.05.2014, transferida para a sessão deliberativa ordinária de 13.05.2014.
      
      
      Matéria não apreciada na sessão de 13.05.2014, transferida para a sessão deliberativa ordinária de 14.05.2014
      
      Matéria não apreciada na sessão de 14.05.2014, transferida para a sessão deliberativa ordinária do dia 15.05.2014.
      
      Matéria não apreciada na sessão de 15.05.2014, transferida para a sessão deliberativa ordinária do dia 20.05.2014.",S,NA,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,153,A,SF,Senado Federal,ATA-PLEN,SUBSECRETARIA DE ATA - PLENÁRIO,114,INCLOD(RQ),incluído_requerimento_em_ordem_do_dia_da_sessão_deliberativa,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Análise do relator,Plenário,NA,Plenário
2162116,1,2014-05-20,1,"Anunciada a votação do Requerimento nº 285, de 2014, é lido e aprovado o Requerimento nº 527, de 2014, de autoria do Senador Eduardo Suplicy, solicitando a sua retirada.
      A seguir, é lido e aprovado o Requerimento nº 528, de 2014, de autoria da Senadora Kátia Abreu, solicitando que o presente projeto seja apreciado em conjunto pelas Comissões de Constituição, Justiça e Cidadania; de Serviços de Infraestrutura; e de Assuntos Econômicos.",S,NA,153,A,SF,Senado Federal,ATA-PLEN,SUBSECRETARIA DE ATA - PLENÁRIO,34,A,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Análise do relator,Plenário,NA,Plenário
