data_tramitacao,local,fase,evento
2017-06-28,SEADI,NA,NA
2017-06-28,PLEN,NA,NA
2017-06-28,CCJ,NA,NA
2017-07-04,CCJ,relatoria,NA
2017-09-19,CCJ,discussao_deliberacao,NA
2017-09-22,CCJ,discussao_deliberacao,NA
2017-09-27,CCJ,discussao_deliberacao,aprovacao_parecer
2017-09-27,CCJ,discussao_deliberacao,NA
2017-09-27,PLEN,discussao_deliberacao,NA
2017-09-27,SEADI,discussao_deliberacao,NA
2017-09-28,PLEN,discussao_deliberacao,NA
2017-10-02,PLEN,discussao_deliberacao,NA
2017-10-03,SLSF,discussao_deliberacao,NA
2017-10-04,SLSF,discussao_deliberacao,NA
2017-10-05,SLSF,discussao_deliberacao,NA
2017-10-05,SLSF,discussao_deliberacao,NA
2017-10-06,SLSF,discussao_deliberacao,NA
2017-10-09,SEADI,discussao_deliberacao,NA
2017-10-09,PLEN,discussao_deliberacao,NA
2017-10-10,SLSF,discussao_deliberacao,NA
2017-10-17,SLSF,discussao_deliberacao,NA
2017-10-18,SLSF,discussao_deliberacao,NA
2017-10-24,PLEN,discussao_deliberacao,NA
2017-10-25,PLEN,discussao_deliberacao,NA
2017-10-25,SEADI,discussao_deliberacao,aprovacao_substitutivo
2017-11-07,PLEN,discussao_deliberacao,NA
2017-11-07,SEXPE,discussao_deliberacao,NA
2017-11-08,SEXPE,virada_de_casa,NA
