data_ordem_do_dia,descricao_tipo_apreciacao,descricao_resultado,sessao_plenaria_codigo_sessao,sessao_plenaria_sigla_casa_sessao,sessao_plenaria_nome_casa_sessao,sessao_plenaria_codigo_sessao_legislativa,sessao_plenaria_sigla_tipo_sessao,sessao_plenaria_numero_sessao,sessao_plenaria_data_sessao,sessao_plenaria_hora_inicio_sessao
2017-10-10,"Discussão, em turno único",Não houve deliberação.,51692,SF,Senado Federal,854,DOR,153 ,2017-10-10,14:00:00
2017-10-05,"Discussão, em turno único",Não houve deliberação.,51516,SF,Senado Federal,854,DEX,150 ,2017-10-05,11:00:00
2017-10-05,"Discussão, em turno único",NA,51418,SF,Senado Federal,854,DEX,148 ,2017-10-05,09:00:00
2017-09-27,"Discussão, em turno único","Aprovado o Requerimento nº 814, de 2017, de urgência para o PLS nº 212, de 2017.
      Sim: 55;
      Não: 1;
      Abst.: 0;
      Total: 56.",50445,SF,Senado Federal,854,DOR,141 ,2017-09-27,14:00:00
2017-10-04,"Discussão, em turno único",Não houve deliberação.,51129,SF,Senado Federal,854,DOR,147 ,2017-10-04,14:00:00
2017-10-25,"Continuação da votação, em turno único","Rejeitadas as Emendas nºs 2, 4 e 5-Plen, destacadas.
      Sim: 19;
      Não: 45;
      Abst.: 0;
      Total: 64.
      
      Aprovado o Substitutivo, em turno suplementar.
      
      A matéria vai à Câmara dos Deputados.",52666,SF,Senado Federal,854,DOR,160 ,2017-10-25,14:00:00
2017-10-17,"Discussão, em turno único",Não houve deliberação.,52015,SF,Senado Federal,854,DOR,156 ,2017-10-17,14:00:00
2017-10-24,"Discussão, em turno único","Aprovada a Emenda nº 1-CCJ (Substitutivo), prejudicada a Emenda nº 3-Plen, pendentes os destaques às Emendas nºs 2, 4 e 5-Plen.
      Sim: 59;
      Não: 0;
      Abstenção; 0;
      Total: 59.",52364,SF,Senado Federal,854,DOR,159 ,2017-10-24,14:00:00
2017-10-18,"Discussão, em turno único",Não houve deliberação.,52105,SF,Senado Federal,854,DOR,157 ,2017-10-18,14:00:00
2017-10-03,"Discussão, em turno único",Não houve deliberação.,50961,SF,Senado Federal,854,DOR,146 ,2017-10-03,14:00:00
