codigo_tramitacao,numero_autuacao,data_tramitacao,numero_ordem_tramitacao,texto_tramitacao,indicador_recebimento,data_recebimento,origem_tramitacao_local_codigo_local,origem_tramitacao_local_tipo_local,origem_tramitacao_local_sigla_casa_local,origem_tramitacao_local_nome_casa_local,origem_tramitacao_local_sigla_local,origem_tramitacao_local_nome_local,destino_tramitacao_local_codigo_local,destino_tramitacao_local_tipo_local,destino_tramitacao_local_sigla_casa_local,destino_tramitacao_local_nome_casa_local,destino_tramitacao_local_sigla_local,destino_tramitacao_local_nome_local,situacao_codigo_situacao,situacao_sigla_situacao,situacao_descricao_situacao,codigo_materia,sigla_casa_identificacao_materia,nome_casa_identificacao_materia,sigla_subtipo_materia,descricao_subtipo_materia,numero_materia,ano_materia,indicador_tramitando,fase,casa,evento,local,global
1519794,1,2009-05-29,1,Recebido nesta Comissão. Matéria aguardando distribuição.,S,NA,34,A,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",34,A,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",87,AGDREL,aguardando_designação_do_relator,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Recebimento,Comissões,NA,CCJ, - Origem (Senado)
1548305,1,2009-07-15,1,"Distribuído ao Senador Arthur Virgílio, para emitir relatório.",S,NA,34,A,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",34,A,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",91,RELATOR,matéria_com_a_relatoria,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Análise do relator,Comissões,designado_relator,CCJ, - Origem (Senado)
1572693,1,2009-09-11,1,"Devolvido pelo Senador Arthur Virgílio para atender Solicitação constante do Oficio nº 1946/2009, da Presidência do Senado Federal, referente a requerimento de tramitação em conjunto (fls. nº 110). 
      
      À SSCLSF.",S,NA,34,A,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,NA,NA,NA,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Análise do relator,Comissões,NA,CCJ, - Origem (Senado)
1572720,1,2009-09-11,2,"Recebido neste Órgão, nesta data.
      
      Encaminhado ao Plenário.",S,NA,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,153,A,SF,Senado Federal,ATA-PLEN,SUBSECRETARIA DE ATA - PLENÁRIO,NA,NA,NA,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Análise do relator,Comissões,NA,CCJ, - Origem (Senado)
1574226,1,2009-09-15,1,"Leitura do Requerimento n° 1.237, de 2009, do Senador Arthur Virgílio, em que solicita, nos termos do art. 258 do Regimento Interno do Senado Federal, a tramitação conjunta do PLS nº 229, de 2009, e do PLS nº 248, de 2009, todos Complementares, por tratarem da mesma matéria.
      À Mesa, para decisão.
      À SGM.",S,NA,153,A,SF,Senado Federal,ATA-PLEN,SUBSECRETARIA DE ATA - PLENÁRIO,176,A,SF,Senado Federal,SGM,Secretaria Geral da Mesa,16,AGMESA,aguardando_decisão_da_mesa,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Análise do relator,Comissões,NA,CCJ, - Origem (Senado)
1577434,1,2009-09-22,1,Encaminhado ao Plenário.,S,NA,176,A,SF,Senado Federal,SGM,Secretaria Geral da Mesa,153,A,SF,Senado Federal,ATA-PLEN,SUBSECRETARIA DE ATA - PLENÁRIO,NA,NA,NA,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Análise do relator,Comissões,NA,CCJ, - Origem (Senado)
1577816,1,2009-09-22,2,"A Presidência comunica ao Plenário que foi deferido, nos termos do Ato da Mesa nº 2, de 2009, o Requerimento nº 1.237, de 2009, do Senador Arthur Virgílio, que solicita a tramitação conjunta do Projeto de Lei do Senado nº 229, de 2009- Complementar com o Projeto de Lei do Senado nº 248, de 2009-Complementar.
      Deferido o requerimento, as matérias passam a tramitar em conjunto e vão às Comissões de Constituição, Justiça e Cidadania, e de Assuntos Econômicos.
",S,NA,153,A,SF,Senado Federal,ATA-PLEN,SUBSECRETARIA DE ATA - PLENÁRIO,34,A,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",NA,NA,NA,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Análise do relator,Comissões,NA,CCJ, - Origem (Senado)
1577995,1,2009-09-23,1,"Recebido nesta Comissão. Matéria aguardando distribuição.
      
      (Tramitam em conjunto os PLS's nºs 229 e 248, de 2009 - Complementares)",S,NA,34,A,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",34,A,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",87,AGDREL,aguardando_designação_do_relator,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Recebimento,Comissões,NA,CCJ, - Origem (Senado)
1578654,1,2009-09-24,1,"Distribuído ao Senador Arthur Virgílio, para emitir relatório.
      
      (Tramitam em conjunto os PLS's nºs 229 e 248, de 2009 - Complementares)",S,NA,34,A,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",34,A,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",91,RELATOR,matéria_com_a_relatoria,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Análise do relator,Comissões,designado_relator,CCJ, - Origem (Senado)
1603701,1,2009-11-13,1,"Recebido o Relatório do Senador Arthur Virgílio, com voto pela aprovação dos PLS's n°s 229 e 248, de 2009, nos termos da Emenda Substitutiva que apresenta.
      Matéria pronta para a Pauta na Comissão.
      
      (Tramitam em conjunto os PLS's nºs 229 e 248, de 2009 - Complementares).",S,NA,34,A,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",34,A,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",42,PRONTPAUT,pronta_para_a_pauta_na_comissão,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Discussão e votação,Comissões,pronta_para_pauta,CCJ, - Origem (Senado)
1608097,1,2009-11-23,1,"Matéria incluída na Pauta da Comissão.
      
      (Tramitam em conjunto os PLS's nºs 229 e 248, de 2009 - Complementares).
",S,NA,34,A,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",34,A,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",138,INPAUTA,incluída_na_pauta_da_reunião,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Discussão e votação,Comissões,NA,CCJ, - Origem (Senado)
1609836,1,2009-11-25,1,"Na 53ª Reunião Ordinária, convocada para os dias 25 e 26 de novembro de 2009, a Comissão aprova o Relatório do Senador Arthur Virgílio, que passa a constituir o Parecer da CCJ, favorável ao Projeto nos termos da Emenda nº 1-CCJ (Substitutivo), em 25/11/2009.
      
      (Tramitam em conjunto os PLS nº 229, de 2009-Complementar, e 248, de 2009-Complementar)",S,NA,34,A,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",34,A,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",89,APRVPAR,aprovado_parecer_na_comissão,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Encaminhamento,Comissões,aprovacao_parecer,CCJ, - Origem (Senado)
1615226,1,2009-12-03,1,"À Comissão de Assuntos Econômicos, para prosseguimento da tramitação.
      
      (Tramitam em conjunto os PLS's nºs 229, de 2009-Complementar, e 248, de 2009-Complementar).",S,NA,34,A,SF,Senado Federal,CCJ,"Comissão de Constituição, Justiça e Cidadania",38,A,SF,Senado Federal,CAE,Comissão de Assuntos Econômicos,89,APRVPAR,aprovado_parecer_na_comissão,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Encaminhamento,Comissões,NA,CCJ, - Origem (Senado)
1615312,1,2009-12-03,2,"Recebido nesta Comissão, nesta data.
      
      Aguardando designação de relator.",S,NA,38,A,SF,Senado Federal,CAE,Comissão de Assuntos Econômicos,38,A,SF,Senado Federal,CAE,Comissão de Assuntos Econômicos,87,AGDREL,aguardando_designação_do_relator,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Recebimento,Comissões,NA,CAE, - Origem (Senado)
1615336,1,2009-12-03,3,"O Presidente da Comissão, Senador Garibaldi Alves Filho, designa o Senador Francisco Dornelles Relator da Matéria.",S,NA,38,A,SF,Senado Federal,CAE,Comissão de Assuntos Econômicos,38,A,SF,Senado Federal,CAE,Comissão de Assuntos Econômicos,91,RELATOR,matéria_com_a_relatoria,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Análise do relator,Comissões,designado_relator,CAE, - Origem (Senado)
1644980,1,2010-03-02,1,"A Comissão aprovou o Requerimento nº 03/2010-CAE e seu aditamento, ambos de autoria do Senador Francisco Dornelles, requerendo a realização de audiência pública com a participação dos representantes do Poder Executivo Federal: Nelson Machado - Secretário-Executivo do Ministério da Fazenda, Arno Augustin - Secretário do Tesouro Nacional, João Bernardo Bringel - Secretário-Executivo do Ministério do Planejamento, Célia Correa - Secretária de Orçamento, e Jorge Hage Sobrinho - Ministro de Estado do Controle e da Transparência; dos representantes do Poder Executivo Estadual e Municipal: Joaquim Levy - Secretário de Estado de Fazenda do Rio de Janeiro, Simão Cirineu - Secretário de Estado de Fazenda de Minas Gerais, Alexandre Cialdini - Secretário de Finanças do Município de Fortaleza, Guilherme Gomes Dias - Secretário de Estado de Desenvolvimento do Espírito Santo, e André Clemente Lara de Oliveira - Secretário de Fazenda do Distrito Federal; dos Economistas: Maílson da Nóbrega, Bernard Appy, Fernando Rezende, Amir Khair, Martus Tavares, Rubens Penha Cysne e Carlos Ivan Simonsen Leal - presidente da Fundação Getúlio Vargas; dos representantes dos Tribunais de Contas: Ubiratan Aguiar - ministro presidente do TCU, Salomão Ribas - conselheiro do TCE-SC e presidente ATRICOM (Associação Membros dos Tribunais), Sérgio Rossi - diretor geral do TCE-SP, Luiz Genédio - TC-DF (líder do PROMOEX); dos Juristas: Ricardo Lobo Torres, Heraldo da Costa Reis e Lino Martins; e dos representantes da Sociedade Civil (Transparência): Jorge Gerdau - presidente da Ação Empresarial, Gil Castelo Branco - presidente da ONG Contas Abertas, e Douglas Melo - juiz, assessor CNJ e movimento mãos limpas. O requerimento e seu aditamento foram anexados ao processado.
",S,NA,38,A,SF,Senado Federal,CAE,Comissão de Assuntos Econômicos,38,A,SF,Senado Federal,CAE,Comissão de Assuntos Econômicos,110,AUDIÊNCIA,audiência_pública,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Análise do relator,Comissões,aprovacao_audiencia_publica,CAE, - Origem (Senado)
1651547,1,2010-03-12,1,"Anexado OF. SF/349/2010 do Presidente do Senado Federal, Senador José Sarney, que requer, nos termos do art. 266 do R.I.S.F., o envio da Matéria à Secretaria Geral da Mesa, em virtude de requerimento, de autoria do Senador Raimundo Colombo, que solicita a tramitação conjunta dos Projetos de Lei do Senado nºs 229 e 450 de 2009. 
      
      À SCLSF.
",S,NA,38,A,SF,Senado Federal,CAE,Comissão de Assuntos Econômicos,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,NA,NA,NA,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Análise do relator,Comissões,NA,CAE, - Origem (Senado)
1651933,1,2010-03-15,1,"Recebido neste Órgão, nesta data .
      Encaminhado ao Plenário.",S,NA,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,153,A,SF,Senado Federal,ATA-PLEN,SUBSECRETARIA DE ATA - PLENÁRIO,NA,NA,NA,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Análise do relator,Comissões,NA,CAE, - Origem (Senado)
1654839,1,2010-03-23,1,"Leitura do Requerimento nº 249, de 2010, de autoria do Senador Raimundo Colombo, solicitando a tramitação conjunta do PLS 450/2009-Complementar com o PLS 229/2009-Complementar, que já tramita em conjunto com o PLS 248/2009-Complementar.
      À SCLSF, para inlcusão em Ordem do Dia do requerimento lido, oportunamente.",S,NA,153,A,SF,Senado Federal,ATA-PLEN,SUBSECRETARIA DE ATA - PLENÁRIO,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,95,AGINCL(RQ),aguardando_inclusão_ordem_do_dia_de_requerimento,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Análise do relator,Comissões,NA,CAE, - Origem (Senado)
1654977,1,2010-03-23,2,"Aguardando inclusão em Ordem do Dia do Requerimento nº 249, de 2010, de tramitação conjunta.
      
      Votação, em turno único, do Requerimento.",S,NA,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,95,AGINCL(RQ),aguardando_inclusão_ordem_do_dia_de_requerimento,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Análise do relator,Comissões,NA,CAE, - Origem (Senado)
1679918,1,2010-05-18,1,Encaminhado ao Plenário.,S,NA,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,153,A,SF,Senado Federal,ATA-PLEN,SUBSECRETARIA DE ATA - PLENÁRIO,NA,NA,NA,91341,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00229,2009,Não,Análise do relator,Comissões,NA,CAE, - Origem (Senado)
