id_ext,casa,id_autor,nome_autor,partido,uf,tipo_generico,sigla_local,qtd_de_documentos,is_important
14562,camara,160556,Padre João,PT,MG,Requerimento,PEC21500,17,TRUE
14562,camara,166401,Nilson Leitão,PSDB,MT,Requerimento,PEC21500,16,TRUE
14562,camara,73463,Osmar Serraglio,PP,PR,Requerimento,PEC21500,6,TRUE
14562,camara,74010,Valdir Colatto,MDB,SC,Requerimento,PEC21500,5,TRUE
14562,camara,73463,Osmar Serraglio,PP,PR,Parecer,PEC21500,4,TRUE
14562,camara,73483,Luis Carlos Heinze,PP,,Requerimento,PEC21500,4,TRUE
14562,camara,74210,Sarney Filho,PV,MA,Requerimento,PEC21500,4,TRUE
14562,camara,73483,Luis Carlos Heinze,PP,,Requerimento,PLEN,2,TRUE
14562,camara,73531,Ivan Valente,PSOL,SP,Requerimento,PEC21500,2,TRUE
14562,camara,73926,Janete Capiberibe,PSB,AP,Requerimento,PEC21500,2,TRUE
14562,camara,73933,Zequinha Marinho,PSC,,Requerimento,SEPUB(SGM),2,FALSE
14562,camara,74077,Giovanni Queiroz,PDT,PA,Requerimento,PEC21500,2,TRUE
14562,camara,141405,Celso Maldaner,MDB,SC,Requerimento,PEC21500,2,TRUE
14562,camara,141537,Moreira Mendes,PSD,,Parecer,CCJC,2,TRUE
14562,camara,141552,Valtenir Pereira,MDB,MT,Requerimento,MESA,2,FALSE
14562,camara,160544,Junji Abe,MDB,SP,Requerimento,PEC21500,2,TRUE
14562,camara,160559,Alceu Moreira,MDB,,Requerimento,PEC21500,2,TRUE
14562,camara,160615,Reinaldo Azambuja,PSDB,,Requerimento,PEC21500,2,TRUE
14562,camara,73463,Osmar Serraglio,PP,PR,Emenda,CCJC,1,TRUE
14562,camara,73463,Osmar Serraglio,PP,PR,Parecer,CCJC,1,TRUE
14562,camara,73472,Gervásio Silva,PSDB,SC,Proposição Apensada,PEC21500,1,TRUE
14562,camara,73490,Ricarte De Freitas,PTB,MT,Proposição Apensada,PEC21500,1,TRUE
