data_tramitacao,origem_tramitacao_local_sigla_local,fase,evento
2009-05-28,PLEG,iniciativa,NA
2009-05-28,ATA-PLEN,iniciativa,NA
2009-05-29,CCJ,iniciativa,aguardando_designação_do_relator
2009-07-15,CCJ,relatoria,matéria_com_a_relatoria
2009-09-11,CCJ,relatoria,NA
2009-09-11,SSCLSF,relatoria,NA
2009-09-15,ATA-PLEN,relatoria,aguardando_decisão_da_mesa
2009-09-22,SGM,relatoria,NA
2009-09-22,ATA-PLEN,relatoria,NA
2009-09-23,CCJ,relatoria,aguardando_designação_do_relator
2009-09-24,CCJ,relatoria,matéria_com_a_relatoria
2009-11-13,CCJ,discussao_deliberacao,pronta_para_a_pauta_na_comissão
2009-11-23,CCJ,discussao_deliberacao,incluída_na_pauta_da_reunião
2009-11-25,CCJ,discussao_deliberacao,aprovacao_parecer
2009-12-03,CCJ,discussao_deliberacao,aprovacao_parecer
2009-12-03,CAE,discussao_deliberacao,aguardando_designação_do_relator
2009-12-03,CAE,relatoria,matéria_com_a_relatoria
2010-03-02,CAE,discussao_deliberacao,aprovacao_audiencia_publica
2010-03-12,CAE,discussao_deliberacao,NA
2010-03-15,SSCLSF,discussao_deliberacao,NA
2010-03-23,ATA-PLEN,discussao_deliberacao,aguardando_inclusão_ordem_do_dia_de_requerimento
2010-03-23,SSCLSF,discussao_deliberacao,aguardando_inclusão_ordem_do_dia_de_requerimento
2010-05-18,SSCLSF,discussao_deliberacao,NA
2010-05-18,ATA-PLEN,discussao_deliberacao,aguardando_inclusão_ordem_do_dia_de_requerimento
2010-05-19,SSCLSF,discussao_deliberacao,aguardando_inclusão_ordem_do_dia_de_requerimento
2010-05-19,SSCLSF,discussao_deliberacao,NA
2010-05-19,ATA-PLEN,discussao_deliberacao,NA
2010-05-20,CCJ,discussao_deliberacao,aguardando_designação_do_relator
2010-05-24,CCJ,relatoria,matéria_com_a_relatoria
2010-05-25,CCJ,relatoria,matéria_com_a_relatoria
2010-06-15,CCJ,discussao_deliberacao,pronta_para_a_pauta_na_comissão
2010-06-21,CCJ,discussao_deliberacao,incluída_na_pauta_da_reunião
2010-06-23,CCJ,discussao_deliberacao,aprovacao_parecer
2010-06-24,CCJ,discussao_deliberacao,NA
2010-06-24,CAE,discussao_deliberacao,aguardando_designação_do_relator
2010-07-08,CAE,relatoria,matéria_com_a_relatoria
2010-12-21,CAE,discussao_deliberacao,pronta_para_a_pauta_na_comissão
2010-12-22,CAE,discussao_deliberacao,NA
2011-01-20,SSCLSF,discussao_deliberacao,NA
2011-01-20,CAE,discussao_deliberacao,aguardando_designação_do_relator
2011-03-04,CAE,relatoria,matéria_com_a_relatoria
2012-06-18,CAE,discussao_deliberacao,pronta_para_a_pauta_na_comissão
2012-07-10,CAE,discussao_deliberacao,aprovacao_audiencia_publica
2013-03-04,CAE,discussao_deliberacao,NA
2013-03-07,SSCLSF,discussao_deliberacao,aguardando_leitura_de_requerimento
2013-03-19,ATA-PLEN,discussao_deliberacao,aguardando_inclusão_ordem_do_dia_de_requerimento
2013-04-01,SSCLSF,discussao_deliberacao,incluído_requerimento_em_ordem_do_dia_da_sessão_deliberativa
2013-04-17,ATA-PLEN,discussao_deliberacao,NA
2013-05-07,SSCLSF,discussao_deliberacao,aguardando_leitura_de_requerimento
2013-05-07,ATA-PLEN,discussao_deliberacao,aguardando_inclusão_ordem_do_dia_de_requerimento
2013-05-13,SSCLSF,discussao_deliberacao,incluído_requerimento_em_ordem_do_dia_da_sessão_deliberativa
2013-05-22,ATA-PLEN,discussao_deliberacao,NA
2013-05-27,CDR,discussao_deliberacao,aguardando_designação_do_relator
2013-06-13,CDR,relatoria,matéria_com_a_relatoria
2013-06-20,CDR,relatoria,NA
2013-06-20,SSCLSF,relatoria,aguardando_leitura_de_requerimento
2013-06-25,ATA-PLEN,relatoria,aguardando_inclusão_ordem_do_dia_de_requerimento
2013-06-27,SSCLSF,relatoria,agendado_requerimento_para_a_ordem_do_dia
2013-07-04,SSCLSF,relatoria,incluído_requerimento_em_ordem_do_dia_da_sessão_deliberativa
2013-08-07,ATA-PLEN,relatoria,NA
2013-08-07,CDR,relatoria,matéria_com_a_relatoria
2013-10-18,CDR,relatoria,NA
2013-10-18,CDR,relatoria,NA
2013-10-21,SSCLSF,relatoria,aguardando_leitura_de_requerimento
2013-10-22,ATA-PLEN,relatoria,aguardando_inclusão_ordem_do_dia_de_requerimento
2013-10-30,SSCLSF,relatoria,agendado_requerimento_para_a_ordem_do_dia
2013-11-06,SSCLSF,relatoria,incluído_requerimento_em_ordem_do_dia_da_sessão_deliberativa
2014-01-09,SSCLSF,relatoria,aguardando_inclusão_ordem_do_dia_de_requerimento
2014-02-17,SSCLSF,relatoria,NA
2014-02-17,ATA-PLEN,relatoria,aguardando_inclusão_ordem_do_dia_de_requerimento
2014-02-18,SSCLSF,relatoria,NA
2014-02-18,ATA-PLEN,relatoria,aguardando_inclusão_ordem_do_dia_de_requerimento
2014-02-21,SSCLSF,relatoria,aguardando_inclusão_ordem_do_dia_de_requerimento
2014-03-17,SSCLSF,relatoria,NA
2014-03-17,SGM,relatoria,NA
2014-03-18,SSCLSF,relatoria,aguardando_inclusão_ordem_do_dia_de_requerimento
2014-03-19,SSCLSF,relatoria,NA
2014-05-30,SSCLSF,relatoria,incluído_requerimento_em_ordem_do_dia_da_sessão_deliberativa
2014-08-01,ATA-PLEN,relatoria,NA
2014-09-02,ATA-PLEN,relatoria,aguardando_inclusão_ordem_do_dia_de_requerimento
2014-10-02,SSCLSF,relatoria,incluído_requerimento_em_ordem_do_dia_da_sessão_deliberativa
2014-11-25,ATA-PLEN,relatoria,aguardando_inclusão_ordem_do_dia_de_requerimento
2014-11-25,SSCLSF,relatoria,incluído_requerimento_em_ordem_do_dia_da_sessão_deliberativa
2014-12-18,SSCLSF,relatoria,aguardando_inclusão_ordem_do_dia_de_requerimento
2015-03-11,SSCLSF,relatoria,NA
2015-03-19,ATA-PLEN,relatoria,aguardando_inclusão_ordem_do_dia_de_requerimento
2015-03-20,SSCLSF,relatoria,aguardando_inclusão_ordem_do_dia_de_requerimento
2015-03-25,SSCLSF,relatoria,NA
2015-03-25,ATA-PLEN,relatoria,aguardando_inclusão_ordem_do_dia_de_requerimento
2015-03-26,SSCLSF,relatoria,aguardando_inclusão_ordem_do_dia_de_requerimento
2015-04-28,ATA-PLEN,relatoria,NA
2015-04-28,CAE,relatoria,aguardando_designação_do_relator
2015-05-04,CAE,relatoria,matéria_com_a_relatoria
2015-07-02,CAE,discussao_deliberacao,pronta_para_a_pauta_na_comissão
2015-07-07,CAE,discussao_deliberacao,NA
2015-07-09,SSCLSF,discussao_deliberacao,NA
2015-07-09,CAE,discussao_deliberacao,pronta_para_a_pauta_na_comissão
2015-08-25,CAE,discussao_deliberacao,aprovacao_audiencia_publica
2015-09-24,CAE,discussao_deliberacao,pronta_para_a_pauta_na_comissão
2015-12-02,CAE,discussao_deliberacao,pronta_para_a_pauta_na_comissão
2016-03-03,CAE,discussao_deliberacao,incluída_na_pauta_da_reunião
2016-03-08,CAE,discussao_deliberacao,pedido_de_vista_concedido
2016-03-10,CAE,discussao_deliberacao,incluída_na_pauta_da_reunião
2016-03-15,CAE,discussao_deliberacao,pronta_para_a_pauta_na_comissão
2016-04-01,CAE,discussao_deliberacao,incluída_na_pauta_da_reunião
2016-04-05,CAE,discussao_deliberacao,pronta_para_a_pauta_na_comissão
2016-04-08,CAE,discussao_deliberacao,incluída_na_pauta_da_reunião
2016-04-12,CAE,discussao_deliberacao,pronta_para_a_pauta_na_comissão
2016-04-20,CAE,discussao_deliberacao,incluída_na_pauta_da_reunião
2016-04-26,CAE,discussao_deliberacao,pronta_para_a_pauta_na_comissão
2016-04-29,CAE,discussao_deliberacao,incluída_na_pauta_da_reunião
2016-05-12,CAE,discussao_deliberacao,incluída_na_pauta_da_reunião
2016-05-16,CAE,discussao_deliberacao,incluída_na_pauta_da_reunião
2016-05-17,CAE,discussao_deliberacao,aprovacao_parecer
2016-05-17,CAE,discussao_deliberacao,aprovacao_parecer
2016-05-18,SLSF,discussao_deliberacao,aguardando_leitura_parecer_(es)
2016-05-18,PLEN,discussao_deliberacao,pronto_para_deliberação_do_plenário
2016-05-19,SLSF,discussao_deliberacao,NA
2016-05-19,PLEN,discussao_deliberacao,aguardando_recebimento_de_emendas_perante_a_mesa
2016-05-19,SLSF,discussao_deliberacao,aguardando_recebimento_de_emendas_perante_a_mesa
2016-05-30,SLSF,discussao_deliberacao,NA
2016-05-30,PLEN,discussao_deliberacao,pronto_para_deliberação_do_plenário
2016-05-30,SLSF,discussao_deliberacao,pronto_para_deliberação_do_plenário
2016-06-07,SLSF,discussao_deliberacao,incluída_em_ordem_do_dia
2016-06-07,PLEN,discussao_deliberacao,aprovacao_substitutivo
2016-06-16,SEXPE,discussao_deliberacao,NA
2016-06-21,SEXPE,virada_de_casa,remetida_à_câmara_dos_deputados
