prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,evento,local
46249,camara,2002-03-13T00:00:00Z,1,Apresentação do Projeto de Lei pelo Senado Federal - BLAIRO MAGGI,PLEN,100,Pronta para Pauta,apresentacao_da_pl,CD-MESA-PLEN
46249,camara,2002-04-03T00:00:00Z,2,"Despacho à CDCMAM, CSSF, CAPR e CCJR (Artigo 54 do RI) - Artigo 24, II.Apense-se a este o PL. 2495/00 e seu apensado.",MESA,110,NA,distribuicao,CD-MESA-PLEN
46249,camara,2002-04-03T00:00:00Z,3,Apense-se a esta o PL-2495/2000.,MESA,504,NA,NA,CD-MESA-PLEN
46249,camara,2002-04-03T00:00:00Z,4,Encaminhamento à CCP para publicação.,MESA,604,NA,NA,CD-MESA-PLEN
46249,camara,2002-04-03T00:00:00Z,5,Encaminhado à CCP,MESA,180,NA,NA,CD-MESA-PLEN
46249,camara,2002-04-04T00:00:00Z,6,Recebimento pela CCP.,CCP,500,NA,NA,CD-MESA-PLEN
46249,camara,2002-04-11T00:00:00Z,7,Publicação Inicial no DCD de 11/4/2002 PÁG 15236 COL 02.,CCP,605,NA,NA,CD-MESA-PLEN
46249,camara,2002-04-11T00:00:00Z,8,Encaminhada à publicação.,CCP,604,NA,NA,CD-MESA-PLEN
46249,camara,2002-04-15T00:00:00Z,9,Encaminhado à CDCMAM,CCP,180,NA,NA,CD-MESA-PLEN
46249,camara,2002-04-15T14:18:00Z,10,Recebimento pela CDCMAM.,CDC,500,NA,NA,CDC
46249,camara,2002-04-16T00:00:00Z,11,Apensação do PL-2495/2000 a esta.,CDC,504,NA,NA,CDC
46249,camara,2002-05-20T00:00:00Z,12,"Designado Relator, Dep. Luciano Pizzatto",CDC,320,NA,designado_relator,CDC
46249,camara,2002-05-20T00:00:00Z,13,Abertura de Prazo para Emendas ao Projeto,CDC,350,NA,abertura_prazo_emendas,CDC
46249,camara,2002-05-27T00:00:00Z,14,Encerrado o prazo para emendas. Não foram apresentadas emendas.,CDC,600,NA,encerramento_prazo_emendas,CDC
46249,camara,2002-12-11T10:05:00Z,15,Devolvida sem Manifestação.,CDC,507,NA,NA,CDC
46249,camara,2003-02-28T00:00:00Z,16,"Designado Relator, Dep. Luciano Zica",CDC,320,NA,designado_relator,CDC
46249,camara,2003-03-11T00:00:00Z,17,Abertura de Prazo para Emendas ao Projeto,CDC,350,NA,abertura_prazo_emendas,CDC
46249,camara,2003-03-18T00:00:00Z,18,Encerrado o prazo para emendas. Não foram apresentadas emendas.,CDC,600,NA,encerramento_prazo_emendas,CDC
46249,camara,2004-04-12T15:21:00Z,19,Devolvida sem Manifestação.,CDC,507,NA,NA,CDC
46249,camara,2004-04-15T00:00:00Z,20,"Designado Relator, Dep. Dimas Ramalho (PPS-SP)",CDC,320,NA,designado_relator,CDC
46249,camara,2004-04-26T00:00:00Z,21,"Despacho à CMADS, CSSF, CAPADR e CCJC (Artigo 54 do RI) - Artigo 24, II do RI.(Novo despacho).Deferido Ofício nº 01/04, da CMADS, revendo o despacho aposto a este Projeto, para encaminhá-lo à CMADS, CSSF, CAPADR  e CCJC, com apreciação conclusiva.DCD 28 04 04 pág 18649 col 02.",MESA,110,NA,redistribuicao,CDC
46249,camara,2004-04-26T00:00:00Z,21,"Despacho à CMADS, CSSF, CAPADR e CCJC (Artigo 54 do RI) - Artigo 24, II do RI.(Novo despacho).Deferido Ofício nº 01/04, da CMADS, revendo o despacho aposto a este Projeto, para encaminhá-lo à CMADS, CSSF, CAPADR  e CCJC, com apreciação conclusiva.DCD 28 04 04 pág 18649 col 02.",MESA,110,NA,distribuicao,CDC
46249,camara,2004-04-26T00:00:00Z,22,"Encaminhamento à CCP, por motivo de novo despacho.",MESA,180,NA,NA,CDC
46249,camara,2004-04-27T00:00:00Z,23,Encaminhada à publicação. Publicação de Errata no DCD de 28/04/2004 PÁG 18649 COL 02.,CCP,604,NA,NA,CDC
46249,camara,2004-04-27T00:00:00Z,24,Encaminhamento de despacho à CCP para publicação.,MESA,604,NA,distribuicao,CDC
46249,camara,2004-05-18T00:00:00Z,25,Encaminhado à CCP.,CDC,180,NA,NA,CDC
46249,camara,2004-05-18T00:00:00Z,26,"Recebimento pela CCP, com as proposições PL-5852/2001, PL-2495/2000, PL-3125/2000 apensadas.",CCP,500,NA,NA,CDC
46249,camara,2004-05-18T00:00:00Z,27,Encaminhado à CMADS.,CCP,180,NA,NA,CDC
46249,camara,2004-05-19T09:54:00Z,28,"Recebimento pela CMADS, com as proposições PL-5852/2001, PL-2495/2000, PL-3125/2000 apensadas.",CMADS,500,NA,NA,CMADS
46249,camara,2004-05-26T00:00:00Z,29,"Designado Relator, Dep. Givaldo Carimbão (PSB-AL)",CMADS,320,NA,designado_relator,CMADS
46249,camara,2004-11-10T20:13:00Z,30,"Parecer do Relator, Dep. Givaldo Carimbão, pela aprovação deste, do PL 2495/2000, do PL 3125/2000, e do PL 5852/2001, apensados, com substitutivo.",CMADS,322,NA,parecer_pela_aprovacao_com_substitutivo,CMADS
46249,camara,2004-11-11T00:00:00Z,31,Abertura de Prazo para Emendas ao Substitutivo a partir de 12/11/2004,CMADS,350,NA,abertura_prazo_emendas,CMADS
46249,camara,2004-11-22T00:00:00Z,32,Encerrado o prazo para emendas. Não foram apresentadas emendas ao substitutivo.,CMADS,600,NA,encerramento_prazo_emendas,CMADS
46249,camara,2004-12-08T10:00:00Z,33,Vista ao Deputado Cezar Silvestri.,CMADS,420,NA,pedido_de_vista,CMADS
46249,camara,2004-12-10T00:00:00Z,34,Devolução de Vista (Dep. Cezar Silvestri).,CMADS,602,NA,NA,CMADS
46249,camara,2005-03-09T00:00:00Z,35,"Designado Relator, Dep. Paulo Baltazar (PSB-RJ)",CMADS,320,NA,designado_relator,CMADS
