data_hora,descricao_situacao,descricao_tramitacao,despacho,id_prop,id_situacao,id_tipo_tramitacao,regime,sequencia,sigla_orgao,uri_orgao,url,fase,evento
2002-03-13T00:00:00Z,NA,Apresentação de Proposição,Apresentação do Projeto de Lei pelo Senado Federal - BLAIRO MAGGI,46249,NA,100,"Prioridade (Art. 151, II, RICD)",1,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1463789,iniciativa,NA
2002-04-03T00:00:00Z,NA,Distribuição ,"Despacho à CDCMAM, CSSF, CAPR e CCJR (Artigo 54 do RI) - Artigo 24, II.
Apense-se a este o PL. 2495/00 e seu apensado.",46249,NA,110,"Prioridade (Art. 151, II, RICD)",2,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,NA,iniciativa,NA
2002-04-03T00:00:00Z,NA,Notificação de Apensação,Apense-se a esta o PL-2495/2000.,46249,NA,504,"Prioridade (Art. 151, II, RICD)",3,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,NA,iniciativa,NA
2002-04-03T00:00:00Z,NA,Publicação de Proposição,Encaminhamento à CCP para publicação.,46249,NA,604,"Prioridade (Art. 151, II, RICD)",4,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,NA,iniciativa,NA
2002-04-03T00:00:00Z,NA,Encaminhamento,Encaminhado à CCP,46249,NA,180,"Prioridade (Art. 151, II, RICD)",5,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,NA,iniciativa,NA
2002-04-04T00:00:00Z,NA,Recebimento,Recebimento pela CCP.,46249,NA,500,"Prioridade (Art. 151, II, RICD)",6,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,NA,iniciativa,NA
2002-04-11T00:00:00Z,NA,Publicação de Despacho,Publicação Inicial no DCD de 11/4/2002 PÁG 15236 COL 02.,46249,NA,605,"Prioridade (Art. 151, II, RICD)",7,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=302189,iniciativa,NA
2002-04-11T00:00:00Z,NA,Publicação de Proposição,Encaminhada à publicação.,46249,NA,604,"Prioridade (Art. 151, II, RICD)",8,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,NA,iniciativa,NA
2002-04-15T00:00:00Z,NA,Encaminhamento,Encaminhado à CDCMAM,46249,NA,180,"Prioridade (Art. 151, II, RICD)",9,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,NA,iniciativa,NA
2002-04-15T14:18:00Z,NA,Recebimento,Recebimento pela CDCMAM.,46249,NA,500,"Prioridade (Art. 151, II, RICD)",10,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,NA,iniciativa,NA
2002-04-16T00:00:00Z,NA,Notificação de Apensação,Apensação do PL-2495/2000 a esta.,46249,NA,504,"Prioridade (Art. 151, II, RICD)",11,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,NA,iniciativa,NA
2002-05-20T00:00:00Z,NA,Designação de Relator,"Designado Relator, Dep. Luciano Pizzatto",46249,NA,320,"Prioridade (Art. 151, II, RICD)",12,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,NA,relatoria,NA
2002-05-20T00:00:00Z,NA,Abertura de Prazo,Abertura de Prazo para Emendas ao Projeto,46249,NA,350,"Prioridade (Art. 151, II, RICD)",13,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,NA,relatoria,NA
2002-05-27T00:00:00Z,NA,Encerramento de Prazo,Encerrado o prazo para emendas. Não foram apresentadas emendas.,46249,NA,600,"Prioridade (Art. 151, II, RICD)",14,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,NA,relatoria,NA
2002-12-11T10:05:00Z,NA,Recebimento - Relator (Sem Manifestação),Devolvida sem Manifestação.,46249,NA,507,"Prioridade (Art. 151, II, RICD)",15,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,NA,relatoria,NA
2003-02-28T00:00:00Z,NA,Designação de Relator,"Designado Relator, Dep. Luciano Zica",46249,NA,320,"Prioridade (Art. 151, II, RICD)",16,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,NA,relatoria,NA
2003-03-11T00:00:00Z,NA,Abertura de Prazo,Abertura de Prazo para Emendas ao Projeto,46249,NA,350,"Prioridade (Art. 151, II, RICD)",17,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,NA,relatoria,NA
2003-03-18T00:00:00Z,NA,Encerramento de Prazo,Encerrado o prazo para emendas. Não foram apresentadas emendas.,46249,NA,600,"Prioridade (Art. 151, II, RICD)",18,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,NA,relatoria,NA
2004-04-12T15:21:00Z,NA,Recebimento - Relator (Sem Manifestação),Devolvida sem Manifestação.,46249,NA,507,"Prioridade (Art. 151, II, RICD)",19,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,NA,relatoria,NA
2004-04-15T00:00:00Z,NA,Designação de Relator,"Designado Relator, Dep. Dimas Ramalho (PPS-SP)",46249,NA,320,"Prioridade (Art. 151, II, RICD)",20,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,NA,relatoria,NA
2004-04-26T00:00:00Z,NA,Distribuição ,"Despacho à CMADS, CSSF, CAPADR e CCJC (Artigo 54 do RI) - Artigo 24, II do RI.
(Novo despacho).
Deferido Ofício nº 01/04, da CMADS, revendo o despacho aposto a este Projeto, para encaminhá-lo à CMADS, CSSF, CAPADR  e CCJC, com apreciação conclusiva.
DCD 28 04 04 pág 18649 col 02.",46249,NA,110,"Prioridade (Art. 151, II, RICD)",21,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,NA,relatoria,NA
2004-04-26T00:00:00Z,NA,Encaminhamento,"Encaminhamento à CCP, por motivo de novo despacho.",46249,NA,180,"Prioridade (Art. 151, II, RICD)",22,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,NA,relatoria,NA
2004-04-27T00:00:00Z,NA,Publicação de Proposição,Encaminhada à publicação. Publicação de Errata no DCD de 28/04/2004 PÁG 18649 COL 02.,46249,NA,604,"Prioridade (Art. 151, II, RICD)",23,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,NA,relatoria,NA
2004-04-27T00:00:00Z,NA,Publicação de Proposição,Encaminhamento de despacho à CCP para publicação.,46249,NA,604,"Prioridade (Art. 151, II, RICD)",24,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,NA,relatoria,NA
2004-05-18T00:00:00Z,NA,Encaminhamento,Encaminhado à CCP.,46249,NA,180,"Prioridade (Art. 151, II, RICD)",25,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,NA,relatoria,NA
2004-05-18T00:00:00Z,NA,Recebimento,"Recebimento pela CCP, com as proposições PL-5852/2001, PL-2495/2000, PL-3125/2000 apensadas.",46249,NA,500,"Prioridade (Art. 151, II, RICD)",26,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,NA,iniciativa,NA
2004-05-18T00:00:00Z,NA,Encaminhamento,Encaminhado à CMADS.,46249,NA,180,"Prioridade (Art. 151, II, RICD)",27,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,NA,iniciativa,NA
2004-05-19T09:54:00Z,NA,Recebimento,"Recebimento pela CMADS, com as proposições PL-5852/2001, PL-2495/2000, PL-3125/2000 apensadas.",46249,NA,500,"Prioridade (Art. 151, II, RICD)",28,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,NA,iniciativa,NA
2004-05-26T00:00:00Z,NA,Designação de Relator,"Designado Relator, Dep. Givaldo Carimbão (PSB-AL)",46249,NA,320,"Prioridade (Art. 151, II, RICD)",29,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,NA,relatoria,NA
2004-11-10T20:13:00Z,NA,Parecer do Relator,"Parecer do Relator, Dep. Givaldo Carimbão, pela aprovação deste, do PL 2495/2000, do PL 3125/2000, e do PL 5852/2001, apensados, com substitutivo.",46249,NA,322,"Prioridade (Art. 151, II, RICD)",30,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=250019,discussao_deliberacao,NA
2004-11-11T00:00:00Z,NA,Abertura de Prazo,Abertura de Prazo para Emendas ao Substitutivo a partir de 12/11/2004,46249,NA,350,"Prioridade (Art. 151, II, RICD)",31,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,NA,discussao_deliberacao,NA
2004-11-22T00:00:00Z,NA,Encerramento de Prazo,Encerrado o prazo para emendas. Não foram apresentadas emendas ao substitutivo.,46249,NA,600,"Prioridade (Art. 151, II, RICD)",32,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,NA,discussao_deliberacao,NA
2004-12-08T10:00:00Z,NA,Pedido de Vista,Vista ao Deputado Cezar Silvestri.,46249,NA,420,"Prioridade (Art. 151, II, RICD)",33,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,NA,discussao_deliberacao,NA
2004-12-10T00:00:00Z,NA,Devolução de Vista,Devolução de Vista (Dep. Cezar Silvestri).,46249,NA,602,"Prioridade (Art. 151, II, RICD)",34,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,NA,discussao_deliberacao,NA
2005-03-09T00:00:00Z,NA,Designação de Relator,"Designado Relator, Dep. Paulo Baltazar (PSB-RJ)",46249,NA,320,"Prioridade (Art. 151, II, RICD)",35,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,NA,relatoria,NA
2006-02-10T00:00:00Z,NA,Devolução ao Relator,"Devolvido ao Relator, Dep. Paulo Baltazar (PSB-RJ)",46249,NA,170,"Prioridade (Art. 151, II, RICD)",36,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,NA,relatoria,NA
2006-03-22T00:00:00Z,NA,Apresentação de Requerimento,"Apresentação do REQ 3786/2006, pelo Dep. Dr. Benedito Dias-Pres. da CSSF, que ""requer encaminhamento do PL 6.299/02 à Comissão de Seguridade Social e Família.""",46249,NA,194,"Prioridade (Art. 151, II, RICD)",37,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,NA,relatoria,NA
2006-03-28T00:00:00Z,NA,Recebimento - Relator,"Apresentação do PRL 1 CMADS, pelo Dep. Paulo Baltazar",46249,NA,501,"Prioridade (Art. 151, II, RICD)",38,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=383655,relatoria,NA
2006-03-28T16:05:00Z,NA,Parecer do Relator,"Parecer do Relator, Dep. Paulo Baltazar (PSB-RJ), pela aprovação deste, do PL 3125/2000, do PL 5852/2001, do PL 5884/2005, do PL 6189/2005, e do PL 2495/2000, apensados, com substitutivo.",46249,NA,322,"Prioridade (Art. 151, II, RICD)",39,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=383655,discussao_deliberacao,NA
2006-03-29T00:00:00Z,NA,Designação de Relator,"Designado Relator, Dep. Givaldo Carimbão (PSB-AL)",46249,NA,320,"Prioridade (Art. 151, II, RICD)",40,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,NA,relatoria,NA
2006-04-04T00:00:00Z,NA,Despacho,"Deferido o REQ 3786/06 e determinado o encaminhamento, nos termos do art. 52, § 6º, do RICD, o Projeto de Lei n. 6.299/02 ao exame da Comissão de Seguridade Social e Família, esclarecendo que a matéria passa a ser da competência do Plenário, por força do disposto no mesmo dispositivo regimental, in fine.
DCD 05 04 06 PAG 16929 COL 01.",46249,NA,1023,"Prioridade (Art. 151, II, RICD)",41,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,NA,relatoria,NA
2006-04-04T00:00:00Z,NA,Notificações,"À CMADS o Memorando nº 72/06 - CCP solicitando o encaminhamento deste à CSSF, nos termos do art. 52, § 6º do RICD. (SGM 881/06 - à CSSF)",46249,NA,1005,"Prioridade (Art. 151, II, RICD)",42,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=385247,relatoria,NA
2006-05-04T15:52:00Z,NA,Encaminhamento,Encaminhado à(ao) CSSF através da guia de Remessa (GR/CMADS) nº 70/2006.,46249,NA,180,"Prioridade (Art. 151, II, RICD)",43,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,NA,relatoria,NA
2006-05-05T00:00:00Z,NA,Designação de Relator,"Designado Relator, Dep. Dr. Francisco Gonçalves (PPS-MG)",46249,NA,320,"Prioridade (Art. 151, II, RICD)",45,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,NA,relatoria,NA
2006-05-05T10:51:00Z,NA,Recebimento,"Recebimento pela CSSF, com as proposições PL-5852/2001, PL-6189/2005, PL-2495/2000, PL-5884/2005, PL-3125/2000 apensadas.",46249,NA,500,"Prioridade (Art. 151, II, RICD)",44,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,NA,iniciativa,NA
2006-10-20T00:00:00Z,NA,Recebimento - Relator,"Apresentação do Parecer do Relator, PRL 1 CSSF, pelo Dep. Dr. Francisco Gonçalves",46249,NA,501,"Prioridade (Art. 151, II, RICD)",46,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=421564,iniciativa,NA
2006-10-20T11:27:00Z,NA,Parecer do Relator,"Parecer do Relator, Dep. Dr. Francisco Gonçalves (PPS-MG), pela aprovação deste, do PL 3125/2000, do PL 5852/2001, do PL 5884/2005, do PL 6189/2005, e do PL 2495/2000, apensados, com substitutivo.",46249,NA,322,"Prioridade (Art. 151, II, RICD)",47,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=421564,discussao_deliberacao,NA
2006-11-22T09:30:00Z,NA,Pedido de Vista,Vista conjunta aos Deputados Angela Guadagnin e Dr. Benedito Dias.,46249,NA,420,"Prioridade (Art. 151, II, RICD)",48,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,NA,discussao_deliberacao,NA
2006-11-27T00:00:00Z,NA,Encerramento de Prazo,Prazo de Vista Encerrado,46249,NA,600,"Prioridade (Art. 151, II, RICD)",49,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,NA,discussao_deliberacao,NA
2006-11-28T00:00:00Z,NA,Recebimento - Relator,"Apresentação do Parecer do Relator, PRL 2 CSSF, pelo Dep. Dr. Francisco Gonçalves",46249,NA,501,"Prioridade (Art. 151, II, RICD)",50,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=427233,discussao_deliberacao,NA
2006-11-28T14:26:00Z,NA,Parecer do Relator,"Parecer do Relator, Dep. Dr. Francisco Gonçalves (PPS-MG), pela aprovação deste, do PL 3125/2000, do PL 5852/2001, do PL 5884/2005, do PL 6189/2005, e do PL 2495/2000, apensados, com substitutivo.",46249,NA,322,"Prioridade (Art. 151, II, RICD)",51,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=427233,discussao_deliberacao,NA
2006-11-29T00:00:00Z,NA,Retirada de Pauta,Retirado de pauta pelo Relator.,46249,NA,250,"Prioridade (Art. 151, II, RICD)",52,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,NA,discussao_deliberacao,NA
2006-12-06T09:30:00Z,NA,Parecer do Relator,"Parecer Reformulado, Dep. Dr. Francisco Gonçalves (PPS-MG), pela rejeição deste, do PL 3125/2000, do PL 5852/2001, do PL 5884/2005, do PL 6189/2005, e do PL 2495/2000, apensados.",46249,NA,322,"Prioridade (Art. 151, II, RICD)",54,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=431488,discussao_deliberacao,NA
2006-12-06T09:30:00Z,NA,Aprovação,"Aprovado por Unanimidade o Parecer, apresentou voto em separado a Deputada Thelma de Oliveira",46249,NA,240,"Prioridade (Art. 151, II, RICD)",55,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,NA,discussao_deliberacao,aprovacao_parecer
2006-12-06T15:29:00Z,NA,Declaração de Voto em Separado,"Apresentação do Voto em Separado, VTS 1 CSSF, pela Dep. Thelma de Oliveira",46249,NA,431,"Prioridade (Art. 151, II, RICD)",53,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=428762,discussao_deliberacao,NA
2006-12-20T18:07:00Z,NA,Encaminhamento,Encaminhado à(ao) CAPADR através da guia de Remessa (GR/CSSF) nº 366/2006.,46249,NA,180,"Prioridade (Art. 151, II, RICD)",56,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,NA,discussao_deliberacao,NA
2006-12-20T18:07:00Z,NA,Publicação de Proposição,Encaminhamento de Parecer à CCP para publicação.,46249,NA,604,"Prioridade (Art. 151, II, RICD)",57,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,NA,discussao_deliberacao,NA
2006-12-21T10:23:00Z,NA,Recebimento,"Recebimento pela CAPADR, com as proposições PL-5852/2001, PL-6189/2005, PL-2495/2000, PL-5884/2005, PL-3125/2000 apensadas.",46249,NA,500,"Prioridade (Art. 151, II, RICD)",58,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,NA,iniciativa,NA
2006-12-21T17:12:00Z,NA,Publicação de Proposição,Parecer recebido para publicação.,46249,NA,604,"Prioridade (Art. 151, II, RICD)",59,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,NA,iniciativa,NA
2007-02-07T16:31:00Z,NA,Desarquivamento a Pedido,"Apresentação do REQUERIMENTO N.º 98, DE 2007, pelo Deputado(a) Fernando Coruja, que solicita o desarquivamento de proposição.",46249,NA,640,"Prioridade (Art. 151, II, RICD)",60,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=434174,iniciativa,NA
