cargo,id,partido,uf,situacao,nome,sigla,casa
Presidente,73674,PP        ,GO,Titular,Roberto Balestra,CAPADR,camara
PrimeiroVice-Presidente,178871,PP        ,ES,Titular,Evair Vieira de Melo,CAPADR,camara
SegundoVice-Presidente,178971,PRB       ,SE,Titular,Jony Marcos,CAPADR,camara
TerceiroVice-Presidente,136811,PP        ,RS,Titular,Afonso Hamm,CAPADR,camara
Titular,178903,PRB       ,MT,Titular,Adilton Sachetti,CAPADR,camara
Titular,136811,PP        ,RS,Titular,Afonso Hamm,CAPADR,camara
Titular,73579,DEM       ,DF,Titular,Alberto Fraga,CAPADR,camara
Titular,178831,PP        ,AP,Titular,André Abdon,CAPADR,camara
Titular,74378,PDT       ,PR,Titular,Assis do Couto,CAPADR,camara
Titular,141335,PT        ,PA,Titular,Beto Faro,CAPADR,camara
Titular,178993,DEM       ,TO,Titular,Carlos Henrique Gaguim,CAPADR,camara
Titular,141405,MDB       ,SC,Titular,Celso Maldaner,CAPADR,camara
Titular,178838,PSB       ,AC,Titular,César Messias,CAPADR,camara
Titular,73768,PP        ,PR,Titular,Dilceu Sperafico,CAPADR,camara
Titular,178871,PP        ,ES,Titular,Evair Vieira de Melo,CAPADR,camara
Titular,178907,PODE      ,PA,Titular,Francisco Chapadinha,CAPADR,camara
Titular,160673,PR        ,RS,Titular,Giovani Cherini,CAPADR,camara
Titular,178964,PSB       ,RS,Titular,Heitor Schuch,CAPADR,camara
Titular,160596,PP        ,GO,Titular,Heuler Cruvinel,CAPADR,camara
Titular,81232,,,Titular,Irajá Abreu,CAPADR,camara
Titular,160570,PP        ,RS,Titular,Jerônimo Goergen,CAPADR,camara
Titular,178971,PRB       ,SE,Titular,Jony Marcos,CAPADR,camara
Titular,74141,PT        ,BA,Titular,Josias Gomes,CAPADR,camara
Titular,74351,PTB       ,PA,Titular,Josué Bengtson,CAPADR,camara
Titular,160544,MDB       ,SP,Titular,Junji Abe,CAPADR,camara
Titular,141480,PP        ,TO,Titular,Lázaro Botelho,CAPADR,camara
Titular,81366,PSC       ,MA,Titular,Luana Costa,CAPADR,camara
Titular,178954,MDB       ,RO,Titular,Lucio Mosquini,CAPADR,camara
Titular,73483,PP        ,RS,Titular,Luis Carlos Heinze,CAPADR,camara
Titular,178955,PR        ,RO,Titular,Luiz Cláudio,CAPADR,camara
Titular,162332,PR        ,PR,Titular,Luiz Nishimori,CAPADR,camara
Titular,160535,PT        ,RS,Titular,Marcon,CAPADR,camara
Titular,141500,PSD       ,MG,Titular,Marcos Montes,CAPADR,camara
Titular,73781,PP        ,PR,Titular,Nelson Meurer,CAPADR,camara
Titular,74359,PTB       ,RO,Titular,Nilton Capixaba,CAPADR,camara
Titular,74399,,,Titular,Onyx Lorenzoni,CAPADR,camara
Titular,74812,MDB       ,GO,Titular,Pedro Chaves,CAPADR,camara
Titular,74216,PSDB      ,CE,Titular,Raimundo Gomes de Matos,CAPADR,camara
Titular,73674,PP        ,GO,Titular,Roberto Balestra,CAPADR,camara
Titular,160651,MDB       ,SC,Titular,Rogério Peninha Mendonça,CAPADR,camara
Titular,178933,MDB       ,PR,Titular,Sergio Souza,CAPADR,camara
Titular,178901,,,Titular,Tereza Cristina,CAPADR,camara
Titular,74010,MDB       ,SC,Titular,Valdir Colatto,CAPADR,camara
Titular,160610,PT        ,BA,Titular,Valmir Assunção,CAPADR,camara
Titular,178889,PT        ,MA,Titular,Zé Carlos,CAPADR,camara
Titular,160632,SOLIDARI  ,MG,Titular,Zé Silva,CAPADR,camara
