,comparacao,distancia
0,2204580_2192459_emenda_na_comissao_jus.txt_7,0.0
1,2204580_2192459_emenda_na_comissao_jus.txt_10,0.0
2,2204580_2192459_emenda_na_comissao_jus.txt_11,0.0
3,2204580_2192459_emenda_na_comissao_jus.txt_16,0.0
4,2204580_2192459_emenda_na_comissao_jus.txt_17,0.0
5,2204580_2192459_emenda_na_comissao_jus.txt_18,0.0
6,2204580_2192459_emenda_na_comissao_jus.txt_19,0.0
7,2204580_2192459_emenda_na_comissao_jus.txt_20,0.0
8,2204580_2192459_emenda_na_comissao_jus.txt_21,0.0
9,2204580_2192459_emenda_na_comissao_jus.txt_22,0.0
10,2204580_2192459_emenda_na_comissao_jus.txt_23,0.0
11,2204580_2192459_emenda_na_comissao_jus.txt_25,0.0
12,2204580_2192459_emenda_na_comissao_jus.txt_26,0.0
13,2204580_2192459_emenda_na_comissao_jus.txt_27,0.0
14,2204580_2192459_emenda_na_comissao_jus.txt_28,0.0
15,2204580_2192459_emenda_na_comissao_jus.txt_29,0.0
16,2204580_2192459_emenda_na_comissao_jus.txt_30,0.0
17,2204580_2192459_emenda_na_comissao_jus.txt_34,0.0
18,2204580_2192459_emenda_na_comissao_jus.txt_35,0.0
19,2204580_2192459_emenda_na_comissao_jus.txt_39,0.0
20,2204580_2192459_emenda_na_comissao_jus.txt_40,0.0
21,2204580_2192459_emenda_na_comissao_jus.txt_41,0.0
22,2204580_2192459_emenda_na_comissao_jus.txt_42,0.0
23,2204580_2192459_emenda_na_comissao_jus.txt_44,0.0
24,2204580_2192459_emenda_na_comissao_jus.txt_45,0.0
25,2204580_2192459_emenda_na_comissao_jus.txt_46,0.0
26,2204580_2192459_emenda_na_comissao_jus.txt_47,0.0
27,2204580_2192459_emenda_na_comissao_jus.txt_48,0.0
28,2204580_2192459_emenda_na_comissao_jus.txt_49,0.0
29,2204580_2192459_emenda_na_comissao_jus.txt_50,0.0
30,2204580_2192459_emenda_na_comissao_jus.txt_51,0.0
31,2204580_2192459_emenda_na_comissao_jus.txt_52,0.0
32,2204580_2192459_emenda_na_comissao_jus.txt_53,0.0
33,2204580_2192459_emenda_na_comissao_jus.txt_54,0.0
34,2204580_2192459_emenda_na_comissao_jus.txt_55,0.0
35,2204580_2192459_emenda_na_comissao_jus.txt_57,0.0
36,2204580_2192459_emenda_na_comissao_jus.txt_58,0.0
37,2204580_2192459_emenda_na_comissao_jus.txt_62,0.0
38,2204580_2192459_emenda_na_comissao_jus.txt_63,0.0
39,2204580_2192459_emenda_na_comissao_jus.txt_66,0.0
40,2204580_2192459_emenda_na_comissao_jus.txt_69,0.0
41,2204580_2192459_emenda_na_comissao_jus.txt_71,0.0
42,2204580_2192459_emenda_na_comissao_jus.txt_72,0.0
43,2204580_2192459_emenda_na_comissao_jus.txt_74,0.0
44,2204580_2192459_emenda_na_comissao_jus.txt_75,0.0
45,2204580_2192459_emenda_na_comissao_jus.txt_77,0.0
46,2204580_2192459_emenda_na_comissao_jus.txt_78,0.0
47,2204580_2192459_emenda_na_comissao_jus.txt_80,0.0
48,2204580_2192459_emenda_na_comissao_jus.txt_81,nan
49,2204580_2192459_emenda_na_comissao_jus.txt_82,0.0
50,2204580_2192459_emenda_na_comissao_jus.txt_84,0.0
51,2204580_2192459_emenda_na_comissao_jus.txt_86,0.0
52,2204580_2192459_emenda_na_comissao_jus.txt_87,0.0
53,2204580_2192459_emenda_na_comissao_jus.txt_88,0.0
54,2204580_2192459_emenda_na_comissao_jus.txt_89,0.0
55,2204580_2192459_emenda_na_comissao_jus.txt_90,0.0
56,2204580_2192459_emenda_na_comissao_jus.txt_91,0.0
57,2204580_2192459_emenda_na_comissao_jus.txt_92,0.0
58,2204580_2192459_emenda_na_comissao_jus.txt_93,0.0
59,2204580_2192459_emenda_na_comissao_jus.txt_95,0.0
60,2204580_2192459_emenda_na_comissao_jus.txt_96,0.0
61,2204580_2192459_emenda_na_comissao_jus.txt_97,0.0
62,2204580_2192459_emenda_na_comissao_jus.txt_98,0.0
63,2204580_2192459_emenda_na_comissao_jus.txt_100,0.0
64,2204580_2192459_emenda_na_comissao_jus.txt_101,0.0
65,2204580_2192459_emenda_na_comissao_jus.txt_102,0.0
66,2204580_2192459_emenda_na_comissao_jus.txt_104,0.0
67,2204580_2192459_emenda_na_comissao_jus.txt_105,0.0
68,2204580_2192459_emenda_na_comissao_jus.txt_106,0.0
69,2204580_2192459_emenda_na_comissao_jus.txt_107,0.0
70,2204580_2192459_emenda_na_comissao_jus.txt_108,0.0
71,2204580_2192459_emenda_na_comissao_jus.txt_110,0.0
72,2204580_2192459_emenda_na_comissao_jus.txt_111,0.0
73,2204580_2192459_emenda_na_comissao_jus.txt_113,0.0
74,2204580_2192459_emenda_na_comissao_jus.txt_114,0.0
75,2204580_2192459_emenda_na_comissao_jus.txt_115,0.0
76,2204580_2192459_emenda_na_comissao_jus.txt_117,nan
77,2204580_2192459_emenda_na_comissao_jus.txt_118,0.0
78,2204580_2192459_emenda_na_comissao_jus.txt_119,0.0
79,2204580_2192459_emenda_na_comissao_jus.txt_121,0.0
80,2204580_2192459_emenda_na_comissao_jus.txt_122,0.0
81,2204580_2192459_emenda_na_comissao_jus.txt_123,0.0
82,2204580_2192459_emenda_na_comissao_jus.txt_125,0.0
83,2204580_2192459_emenda_na_comissao_jus.txt_126,0.0
84,2204580_2192459_emenda_na_comissao_jus.txt_127,0.0
85,2204580_2192459_emenda_na_comissao_jus.txt_129,nan
86,2204580_2192459_emenda_na_comissao_jus.txt_130,0.0
87,2204580_2192459_emenda_na_comissao_jus.txt_131,0.0
88,2204580_2192459_emenda_na_comissao_jus.txt_132,0.0
89,2204580_2192459_emenda_na_comissao_jus.txt_134,0.0
90,2204580_2192459_emenda_na_comissao_jus.txt_135,0.0
91,2204580_2192459_emenda_na_comissao_jus.txt_136,0.0
92,2204580_2192459_emenda_na_comissao_jus.txt_137,0.0
93,2204580_2192459_emenda_na_comissao_jus.txt_139,0.0
94,2204580_2192459_emenda_na_comissao_jus.txt_140,0.0
95,2204580_2192459_emenda_na_comissao_jus.txt_141,0.0
96,2204580_2192459_emenda_na_comissao_jus.txt_142,0.0
97,2204580_2192459_emenda_na_comissao_jus.txt_143,0.0
98,2204580_2192459_emenda_na_comissao_jus.txt_145,0.0
99,2204580_2192459_emenda_na_comissao_jus.txt_146,0.0
100,2204580_2192459_emenda_na_comissao_jus.txt_147,0.0
101,2204580_2192459_emenda_na_comissao_jus.txt_148,0.0
102,2204580_2192459_emenda_na_comissao_jus.txt_149,0.0
103,2204580_2192459_emenda_na_comissao_jus.txt_150,0.0
104,2204580_2192459_emenda_na_comissao_jus.txt_151,0.0
105,2204580_2192459_emenda_na_comissao_jus.txt_152,0.0
106,2204580_2192459_emenda_na_comissao_jus.txt_153,0.0
107,2204580_2192459_emenda_na_comissao_jus.txt_156,0.0
108,2204580_2192459_emenda_na_comissao_jus.txt_157,0.0
109,2204580_2192459_emenda_na_comissao_jus.txt_158,0.0
110,2204580_2192459_emenda_na_comissao_jus.txt_159,0.0
111,2204580_2192459_emenda_na_comissao_jus.txt_160,0.0
112,2204580_2192459_emenda_na_comissao_jus.txt_161,0.0
113,2204580_2192459_emenda_na_comissao_jus.txt_162,0.0
114,2204580_2192459_emenda_na_comissao_jus.txt_163,0.0
115,2204580_2192459_emenda_na_comissao_jus.txt_164,0.0
116,2204580_2192459_emenda_na_comissao_jus.txt_166,0.0
117,2204580_2192459_emenda_na_comissao_jus.txt_167,0.0
118,2204580_2192459_emenda_na_comissao_jus.txt_168,0.0
119,2204580_2192459_emenda_na_comissao_jus.txt_169,0.0
120,2204580_2192459_emenda_na_comissao_jus.txt_170,0.0
121,2204580_2192459_emenda_na_comissao_jus.txt_171,0.0
122,2204580_2192459_emenda_na_comissao_jus.txt_172,0.0
123,2204580_2192459_emenda_na_comissao_jus.txt_173,0.0
124,2204580_2192459_emenda_na_comissao_jus.txt_176,0.0
125,2204580_2192459_emenda_na_comissao_jus.txt_177,0.0
126,2204580_2192459_emenda_na_comissao_jus.txt_178,0.0
127,2204580_2192459_emenda_na_comissao_jus.txt_179,0.0
128,2204580_2192459_emenda_na_comissao_jus.txt_181,0.0
129,2204580_2192459_emenda_na_comissao_jus.txt_182,0.0
130,2204580_2192459_emenda_na_comissao_jus.txt_183,0.0
131,2204580_2192459_emenda_na_comissao_jus.txt_186,0.0
132,2204580_2192459_emenda_na_comissao_jus.txt_187,0.0
133,2204580_2192459_emenda_na_comissao_jus.txt_188,0.0
134,2204580_2192459_emenda_na_comissao_jus.txt_189,0.0
135,2204580_2192459_emenda_na_comissao_jus.txt_190,0.0
136,2204580_2192459_emenda_na_comissao_jus.txt_191,0.0
137,2204580_2192459_emenda_na_comissao_jus.txt_193,0.0
138,2204580_2192459_emenda_na_comissao_jus.txt_194,0.0
139,2204580_2192459_emenda_na_comissao_jus.txt_195,0.0
140,2204580_2192459_emenda_na_comissao_jus.txt_196,0.0
141,2204580_2192459_emenda_na_comissao_jus.txt_197,0.0
142,2204580_2192459_emenda_na_comissao_jus.txt_201,0.0
143,2204580_2192459_emenda_na_comissao_jus.txt_202,0.0
144,2204580_2192459_emenda_na_comissao_jus.txt_203,0.0
145,2204580_2192459_emenda_na_comissao_jus.txt_204,0.0
146,2204580_2192459_emenda_na_comissao_jus.txt_205,0.0
147,2204580_2192459_emenda_na_comissao_jus.txt_207,0.0
148,2204580_2192459_emenda_na_comissao_jus.txt_208,0.0
