CdProposition,NumberItemProposition,Distance
7890799,0,0
7890799,10,0
7890799,11,0
7890799,15,0
7890799,16,0
7890799,17,0
7890799,25,0
7890799,32,0
7890799,36,0
7890799,37,0
7890799,39,0
7890799,40,0
7890799,43,0
7890799,44,0
7890799,46,0
7890799,47,0
7890799,48,0
7890799,49,0
7890799,55,0
7890799,58,0
7890799,59,0
7890799,85,0
7890799,97,0
7890799,101,0
7890799,102,0
7890799,103,0
7890799,105,0
7890799,115,0
7890799,118,0
7890799,125,0
7890799,128,0
7890799,137,0
7890799,138,0
7890799,150,0
7890799,151,0
7890799,159,0
7890799,160,0
7890799,162,0
7890799,163,0
7890799,171,0
7890799,172,0
7890799,173,0
7890799,174,0
7890799,175,0
7890799,176,0
7890799,188,0
7890799,200,0
7890799,204,0
7890799,205,0
7890799,210,0
7890799,212,0
7890799,213,0
7890799,215,0
7890799,217,0
7890799,218,0
7890799,248,0
7890799,249,0
7890799,257,0
7890799,258,0
7890799,259,NaN
7890799,278,0
7890799,280,0
7890799,282,0
7890799,285,0
7890799,286,0
7890799,287,0
7890799,288,0
7890799,289,0
7890799,291,0
7890799,309,NaN
7890799,311,0
7890799,312,0
7890799,316,0
7890799,319,0
7890799,320,0
7890799,338,0
7890799,345,0
7890799,347,0
7890799,348,0
7890799,349,0
7890799,350,0
7890799,351,0
7890799,352,0
7890799,353,0
7890799,355,0
7886952,0,0
7886952,10,0
7886952,11,0
7886952,15,0
7886952,16,0
7886952,17,0
7886952,25,0
7886952,32,0
7886952,36,0
7886952,37,0
7886952,39,0
7886952,40,0
7886952,43,0
7886952,44,0
7886952,46,0
7886952,47,0
7886952,48,0
7886952,49,0
7886952,55,0
7886952,58,0
7886952,59,0
7886952,85,0
7886952,97,0
7886952,101,0
7886952,102,0
7886952,103,0
7886952,105,0
7886952,115,0
7886952,118,0
7886952,125,0
7886952,128,0
7886952,137,0
7886952,138,0
7886952,150,0
7886952,151,0
7886952,159,0
7886952,160,0
7886952,162,0
7886952,163,0
