id_leggo,periodo,temperatura_periodo,temperatura_recente
1,2016-03-28T00:00:00Z,13.57,13.57
1,2016-04-04T00:00:00Z,11.5,21.68
1,2016-04-11T00:00:00Z,0,16.26
1,2016-04-18T00:00:00Z,0,12.19
1,2016-04-25T00:00:00Z,0,9.15
1,2016-05-02T00:00:00Z,0,6.86
1,2016-05-09T00:00:00Z,0,5.14
1,2016-05-16T00:00:00Z,0,3.86
1,2016-05-23T00:00:00Z,0,2.89
1,2016-05-30T00:00:00Z,0,2.17
1,2016-06-06T00:00:00Z,7.28,8.91
1,2016-06-13T00:00:00Z,7.21,13.89
1,2016-06-20T00:00:00Z,1.25,11.67
1,2016-06-27T00:00:00Z,0,8.75
1,2016-07-04T00:00:00Z,7.32,13.88
1,2016-07-11T00:00:00Z,52.720000000000006,63.13
1,2016-07-18T00:00:00Z,0,63.13
1,2016-07-25T00:00:00Z,19.25,66.6
1,2016-08-01T00:00:00Z,282.1,332.05
1,2016-08-08T00:00:00Z,146.19000000000003,395.23
1,2016-08-15T00:00:00Z,30.500000000000004,326.92
1,2016-08-22T00:00:00Z,84.48,329.67
1,2016-08-29T00:00:00Z,67.9,315.15
1,2016-09-05T00:00:00Z,1.9300000000000002,238.29
1,2016-09-12T00:00:00Z,49.410000000000004,228.13
1,2016-09-19T00:00:00Z,8.930000000000001,180.03
1,2016-09-26T00:00:00Z,5.5,140.52
1,2016-10-03T00:00:00Z,16.43,121.82
1,2016-10-10T00:00:00Z,34.720000000000006,126.09
1,2016-10-17T00:00:00Z,6.180000000000001,100.74
1,2016-10-24T00:00:00Z,0,75.56
1,2016-10-31T00:00:00Z,13.700000000000001,70.37
1,2016-11-07T00:00:00Z,12.120000000000001,64.9
1,2016-11-14T00:00:00Z,6.4,55.07
1,2016-11-21T00:00:00Z,65.24000000000001,106.54
1,2016-11-28T00:00:00Z,151.65,231.56
1,2016-12-05T00:00:00Z,0,173.67
1,2016-12-12T00:00:00Z,0,130.25
1,2016-12-19T00:00:00Z,0,97.69
1,2016-12-26T00:00:00Z,3.3600000000000003,76.63
1,2017-01-02T00:00:00Z,0,76.63
1,2017-01-09T00:00:00Z,0,76.63
1,2017-01-16T00:00:00Z,0,76.63
1,2017-01-23T00:00:00Z,0,76.63
1,2017-01-30T00:00:00Z,0,76.63
1,2017-02-06T00:00:00Z,0,57.47
1,2017-02-13T00:00:00Z,18.48,61.58
1,2017-02-20T00:00:00Z,0,46.19
1,2017-02-27T00:00:00Z,0,34.64
1,2017-03-06T00:00:00Z,0,25.98
1,2017-03-13T00:00:00Z,0,19.49
1,2017-03-20T00:00:00Z,3.3600000000000003,17.97
1,2017-03-27T00:00:00Z,19.840000000000003,33.32
1,2017-04-03T00:00:00Z,4.93,29.92
1,2017-04-10T00:00:00Z,1.6800000000000002,24.12
1,2017-04-17T00:00:00Z,0,18.09
1,2017-04-24T00:00:00Z,0,13.57
1,2017-05-01T00:00:00Z,0,10.18
1,2017-05-08T00:00:00Z,0,7.63
1,2017-05-15T00:00:00Z,0,5.72
1,2017-05-22T00:00:00Z,0,4.29
1,2017-05-29T00:00:00Z,0,3.22
1,2017-06-05T00:00:00Z,0,2.41
1,2017-06-12T00:00:00Z,0,1.81
1,2017-06-19T00:00:00Z,0,1.36
1,2017-06-26T00:00:00Z,0,1.02
1,2017-07-03T00:00:00Z,0,0.76
1,2017-07-10T00:00:00Z,0,0.57
1,2017-07-17T00:00:00Z,0,0.43
1,2017-07-24T00:00:00Z,0,0.43
1,2017-07-31T00:00:00Z,0,0.43
1,2017-08-07T00:00:00Z,0,0.32
1,2017-08-14T00:00:00Z,0,0.24
1,2017-08-21T00:00:00Z,0,0.18
1,2017-08-28T00:00:00Z,0,0.14
1,2017-09-04T00:00:00Z,0,0.1
1,2017-09-11T00:00:00Z,0,0.08
1,2017-09-18T00:00:00Z,0,0.06
1,2017-09-25T00:00:00Z,51.36,51.4
1,2017-10-02T00:00:00Z,0,38.55
1,2017-10-09T00:00:00Z,0,28.91
1,2017-10-16T00:00:00Z,0,21.69
1,2017-10-23T00:00:00Z,0,16.26
1,2017-10-30T00:00:00Z,0,12.2
1,2017-11-06T00:00:00Z,0,9.15
1,2017-11-13T00:00:00Z,0,6.86
1,2017-11-20T00:00:00Z,0,5.15
1,2017-11-27T00:00:00Z,0,3.86
1,2017-12-04T00:00:00Z,3.3600000000000003,6.25
1,2017-12-11T00:00:00Z,0,4.69
1,2017-12-18T00:00:00Z,0,3.52
1,2017-12-25T00:00:00Z,0,3.52
1,2018-01-01T00:00:00Z,0,3.52
1,2018-01-08T00:00:00Z,0,3.52
1,2018-01-15T00:00:00Z,0,3.52
1,2018-01-22T00:00:00Z,0,3.52
1,2018-01-29T00:00:00Z,0,3.52
1,2018-02-05T00:00:00Z,0,2.64
1,2018-02-12T00:00:00Z,0,1.98
1,2018-02-19T00:00:00Z,0,1.48
1,2018-02-26T00:00:00Z,0,1.11
1,2018-03-05T00:00:00Z,0,0.83
1,2018-03-12T00:00:00Z,0,0.63
1,2018-03-19T00:00:00Z,0,0.47
1,2018-03-26T00:00:00Z,0,0.35
1,2018-04-02T00:00:00Z,0,0.26
1,2018-04-09T00:00:00Z,0,0.2
1,2018-04-16T00:00:00Z,0,0.15
1,2018-04-23T00:00:00Z,5.040000000000001,5.15
1,2018-04-30T00:00:00Z,0,3.86
1,2018-05-07T00:00:00Z,0,2.9
1,2018-05-14T00:00:00Z,0,2.17
1,2018-05-21T00:00:00Z,0,1.63
1,2018-05-28T00:00:00Z,0,1.22
1,2018-06-04T00:00:00Z,0,0.92
1,2018-06-11T00:00:00Z,0,0.69
1,2018-06-18T00:00:00Z,0,0.52
1,2018-06-25T00:00:00Z,0,0.39
1,2018-07-02T00:00:00Z,0,0.29
1,2018-07-09T00:00:00Z,0,0.22
1,2018-07-16T00:00:00Z,0,0.16
1,2018-07-23T00:00:00Z,0,0.16
1,2018-07-30T00:00:00Z,0,0.16
1,2018-08-06T00:00:00Z,0,0.12
1,2018-08-13T00:00:00Z,0,0.09
1,2018-08-20T00:00:00Z,0,0.07
1,2018-08-27T00:00:00Z,0,0.05
1,2018-09-03T00:00:00Z,0,0.04
1,2018-09-10T00:00:00Z,0,0.03
1,2018-09-17T00:00:00Z,0,0.02
1,2018-09-24T00:00:00Z,0,0.02
1,2018-10-01T00:00:00Z,0,0.01
1,2018-10-08T00:00:00Z,0,0.01
1,2018-10-15T00:00:00Z,6.720000000000001,6.73
1,2018-10-22T00:00:00Z,0,5.05
1,2018-10-29T00:00:00Z,0,3.78
1,2018-11-05T00:00:00Z,0,2.84
