casa,id_ext,fase_global,local,data_inicio,data_fim,local_casa,pulou
camara,257161,Pré-Construção,,NA,NA,camara,TRUE
camara,257161,Construção,Comissões,2004-06-22T14:57:00Z,NA,camara,FALSE
camara,257161,Construção,Plenário,NA,NA,camara,FALSE
camara,257161,Pré-Revisão I,,NA,NA,camara,FALSE
camara,257161,Revisão I,Comissões,NA,NA,senado,FALSE
camara,257161,Revisão I,Plenário,NA,NA,senado,FALSE
camara,257161,Pré-Revisão II,,NA,NA,camara,FALSE
camara,257161,Revisão II,Comissões,NA,NA,camara,FALSE
camara,257161,Revisão II,Plenário,NA,NA,camara,FALSE
camara,257161,Sanção/Veto,Presidência da República,NA,NA,presidência da república,FALSE
camara,257161,Avaliação dos Vetos,Congresso,NA,NA,congresso,FALSE
senado,132865,Pré-Construção,,NA,NA,senado,TRUE
senado,132865,Construção,Comissões,2018-04-10T12:00:00Z,NA,senado,FALSE
senado,132865,Construção,Plenário,NA,NA,senado,FALSE
senado,132865,Pré-Revisão I,,NA,NA,senado,FALSE
senado,132865,Revisão I,Comissões,NA,NA,camara,FALSE
senado,132865,Revisão I,Plenário,NA,NA,camara,FALSE
senado,132865,Pré-Revisão II,,NA,NA,senado,FALSE
senado,132865,Revisão II,Comissões,NA,NA,senado,FALSE
senado,132865,Revisão II,Plenário,NA,NA,senado,FALSE
senado,132865,Sanção/Veto,Presidência da República,NA,NA,presidência da república,FALSE
senado,132865,Avaliação dos Vetos,Congresso,NA,NA,congresso,FALSE
senado,91341,Pré-Construção,,NA,NA,senado,TRUE
senado,91341,Construção,Comissões,2009-05-29T12:00:00Z,2016-06-07T12:00:00Z,senado,FALSE
senado,91341,Construção,Plenário,2016-06-07T12:00:00Z,2016-06-21T00:00:00Z,senado,FALSE
senado,91341,Pré-Revisão I,,NA,NA,senado,TRUE
camara,2088990,Revisão I,Comissões,2016-06-28T09:52:00Z,NA,camara,FALSE
camara,2088990,Revisão I,Plenário,NA,NA,camara,FALSE
camara,2088990,Pré-Revisão II,,NA,NA,camara,FALSE
camara,2088990,Revisão II,Comissões,NA,NA,senado,FALSE
camara,2088990,Revisão II,Plenário,NA,NA,senado,FALSE
camara,2088990,Sanção/Veto,Presidência da República,NA,NA,presidência da república,FALSE
camara,2088990,Avaliação dos Vetos,Congresso,NA,NA,congresso,FALSE
senado,41703,Pré-Construção,,NA,NA,senado,TRUE
senado,41703,Construção,Comissões,1999-09-10T12:00:00Z,2002-03-12T12:00:00Z,senado,FALSE
senado,41703,Construção,Plenário,NA,NA,senado,TRUE
senado,41703,Pré-Revisão I,,NA,NA,senado,TRUE
