id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,autor_nome,apelido,tema,regime_tramitacao,forma_apreciacao,relator_nome,temperatura,palavras_chave
257161,PL,3729,"Dispõe sobre o licenciamento ambiental, regulamenta o inciso IV do § 1º do art. 225 da Constituição Federal, e dá outras providências. Dispõe que para a instalação de obra, empreendimento ou atividade potencialmente causadora de degradação do meio ambiente, será exigido Estudo Prévio de Impacto Ambiental (EIA), com ampla publicidade; regulamentando a Constituição Federal de 1988.",2004-06-08T00:00:00Z,camara,João Alfredo,Lei do Licenciamento Ambiental,Meio Ambiente,Urgência,Plenário,Dep. Maurício Quintella Lessa (PR-AL),18.88,NA
132865,PLS,168,Regulamenta o licenciamento ambiental previsto no inciso IV do § 1º do art. 225 da Constituição Federal e dispõe sobre a avaliação ambiental estratégica.,2018-04-10T00:00:00Z,senado,Acir Gurgacz PDT / RO,Lei Geral de Licenciamento Ambiental,Meio Ambiente,Ordinária,Plenário,Romero Jucá,1.1,NA
2088990,PLP,295,"Estabelece, com amparo nos arts. 163 e 165,      § 9º, da Constituição Federal, normas gerais sobre planejamento, orçamento, fundos, contabilidade, controle e avaliação na administração pública; altera a Lei Complementar nº 101, de 4 de maio de 2000; e revoga a Lei nº 4.320, de 17 de março de 1964. ",2016-06-21T16:37:00Z,camara,Senado Federal - Tasso Jereissati,Lei da Qualidade Fiscal,Agenda Governo,Prioridade,Plenário,Dep. Simone Morgado (PMDB-PA),0,NA
91341,PLS,229,"Estabelece normas gerais sobre plano, orçamento, controle e contabilidade pública, voltadas para a responsabilidade no processo orçamentário e na gestão financeira e patrimonial, altera dispositivos da Lei Complementar nº 101, de 4 de maio de 2000, a fim de fortalecer a gestão fiscal responsável e dá outras providências.",2009-05-28T00:00:00Z,senado,Tasso Jereissati PSDB / CE,Lei da Qualidade Fiscal,Agenda Governo,Ordinária,Plenário,Ricardo Ferraço,0,NA
46249,PL,6299,"Altera os arts 3º e 9º da Lei nº 7.802, de 11 de julho de 1989, que dispõe sobre a pesquisa, a experimentação, a produção, a embalagem e rotulagem, o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, a exportação, o destino final dos resíduos e embalagens, o registro, a classificação, o controle, a inspeção e a fiscalização de agrotóxicos, seus componentes e afins, e dá outras providências. Dispõe que o registro prévio do agrotóxico será o do princípio ativo;  dá  competência à União para legislar sobre destruição de embalagem do defensivo agrícola.",2002-03-13T00:00:00Z,camara,Senado Federal - BLAIRO MAGGI,PL do Veneno,Meio Ambiente,Prioridade,Plenário,Dep. Luiz Nishimori (PR-PR),0.03,NA
41703,PLS,526,"Altera a Lei nº 7802, de 11 de julho de 1999, que ""dispõe sobre a pesquisa, a experimentação, a produção, a embalagem e rotulagem,  o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, o destino, a classificação, o controle, a inspeção e a fiscalização de agrotóxicos, seus componentes e afins, e dá outras providências.""",1999-08-31T00:00:00Z,senado,Blairo Maggi PR / MT,PL do Veneno,Meio Ambiente,Ordinária,Plenário,Jonas Pinheiro,0,NA
2121442,PL,6726,"Regulamenta o limite remuneratório de que tratam o inciso XI e os §§ 9º e 11 do art. 37 da Constituição Federal. Revoga as Leis nº 8.448, de 1992 e 8.852, de 1994 e dispositivos das Leis nº 8.112, de 1990 e 10.887, de 2004.
",2016-12-14T22:16:00Z,camara,Senado Federal - Comissão Especial do Extrateto SF,Lei do Teto Remuneratório,Agenda Governo,Prioridade,Plenário,Dep. Rubens Bueno (PPS-PR),8.64,NA
127753,PLS,449,Regulamenta o limite remuneratório de que tratam o inciso XI e os §§ 9º e 11 do art. 37 da Constituição Federal.,2016-12-08T00:00:00Z,senado,Comissão Especial do Extrateto  ,Lei do Teto Remuneratório,Agenda Governo,Ordinária,Plenário,Relator não encontrado,0,NA
2160860,PLP,441,"Altera a Lei Complementar nº 105, de 10 de janeiro de 2001, e a Lei nº 12.414, de 9 de junho de 2011, para dispor sobre os cadastros positivos de crédito e regular a responsabilidade civil dos operadores. ",2017-11-08T16:32:00Z,camara,Senado Federal - Dalirio Beber,Lei do Cadastro Positivo,Agenda Governo,Urgência,Plenário,Dep. Walter Ihoshi (PSD-SP),100.73,NA
129808,PLS,212,"Altera a Lei Complementar nº 105, de 10 de janeiro de 2001, e a Lei nº 12.414, de 9 de junho de 2011, para fomentar a inclusão de dados nos cadastros positivos de crédito e regular a responsabilidade civil dos operadores.",2017-06-28T00:00:00Z,senado,Dalirio Beber PSDB / SC,Lei do Cadastro Positivo,Agenda Governo,Urgência,Plenário,Armando Monteiro,0,NA
