prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,origem_tramitacao_local_nome_casa_local,destino_tramitacao_local_nome_casa_local,id_principal
115926,senado,2018-11-19T00:00:00Z,1,À COARQ.,SEXPE,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2017-02-09T00:00:00Z,1,Recebido e arquivado.,COARQ,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2017-02-06T00:00:00Z,1,Recebido e Arquivado.,COARQ,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2017-02-06T00:00:00Z,1,Recebido e Arquivado.,COARQ,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2017-02-03T00:00:00Z,1,"Remessa Ofício SF nº 17, de 03/02/2017, ao Senhor Primeiro-Secretário da Câmara dos Deputados encaminhando autógrafos do projeto para revisão, nos termos do art. 65 da Constituição Federal. (fls. 1.336 a 1.408).",SEXPE,52,REMETIDA À CÂMARA DOS DEPUTADOS,,Senado Federal,Senado Federal,115926
115926,senado,2017-02-03T00:00:00Z,1,"Em 13/12/2016 - Aprovado o Substitutivo em turno suplementar, com emendas.
      Aprovada a redação final da matéria.
      À Câmara dos Deputados.
      (A presente autuação vai ao Arquivo)",PLEN,113,APROVADO O SUBSTITUTIVO,,Senado Federal,Senado Federal,115926
115926,senado,2017-02-02T00:00:00Z,2,"Em 13/12/2016 - Aprovado o Substitutivo em turno suplementar, com emendas.
      Aprovada a redação final da matéria.
      À Câmara dos Deputados.
      (A presente autuação vai ao Arquivo)",PLEN,113,APROVADO O SUBSTITUTIVO,,Senado Federal,Senado Federal,115926
115926,senado,2017-02-02T00:00:00Z,2,"Em 13/12/2016 - Aprovado o Substitutivo em turno suplementar, com emendas.
      Aprovada a redação final da matéria.
      À Câmara dos Deputados.
      (A presente autuação vai ao Arquivo)",PLEN,113,APROVADO O SUBSTITUTIVO,,Senado Federal,Senado Federal,115926
115926,senado,2017-02-02T00:00:00Z,1,Encaminhado à SEADI,SGM,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2017-02-02T00:00:00Z,1,Encaminhado à SEADI.,PLEN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2017-02-02T00:00:00Z,1,Encaminhado à SEADI.,PLEN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2017-02-02T00:00:00Z,1,Anexado o texto revisado (fls. 1264 a 1335).,SEXPE,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2017-02-01T00:00:00Z,1,"À SLSF, a pedido.",CAE,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-12-15T00:00:00Z,1,Encaminhado à Corele.,PLEN,NA,NA,,Senado Federal,Senado Federal,115926
115926,senado,2016-12-13T00:00:00Z,2,"Aprovado o Substitutivo em turno suplementar, com emendas.
      Aprovada a redação final da matéria.
      À Câmara dos Deputados.
      ***DETALHAMENTO DA AÇÃO LEGISLATIVA***
      Encaminhadas à publicação as Emendas nºs 100 a 156-PLEN.
      Retiradas as Emendas nºs 129 e 130-PLEN, nos termos do Requerimento nº 951, de 2016, de autoria do Senador Antonio Anastasia.
      Proferido pelo Senador Fernando Bezerra Coelho o Parecer nº 983, de 2016-PLEN, sobre as Emendas nºs 100 a 156-PLEN, apresentadas no turno suplementar, concluindo favoravelmente às Emendas nºs 102, 105, 114, 118, 120, 128, 132, 141, 143, 153 e 156;  pela rejeição das Emendas nºs 100, 101, 103, 104, 106, 107, 108, 109, 110, 111, 112, 113, 115, 116, 117, 119, 121, 122, 123, 124, 125, 126, 127, 129, 130, 131 133, 134, 135, 136, 137, 138, 139, 140, 142, 144, 145, 146, 147, 148, 149, 150, 151, 152, 154 e 155 e,  ainda, pela apresentação das Emendas nºs 157, 158, 159, 160, 161 e 162-PLEN.
      Aprovado o Substitutivo, em turno suplementar, ressalvadas as emendas,  com o voto contrário do Senador Reguffe.
      Aprovadas, em globo, as emendas de parecer favorável.
      Rejeitadas, em globo, as emendas de parecer contrário.
      Aprovada a redação final da matéria. (Parecer nº 984, de 2016-CDIR)
      À Câmara dos Deputados.
      (Ficam prejudicados os seguintes projetos: PLS 561/2009, PLS 201/2012, PLS 262/2012, PLS 367/2012, PLS 403/2012, PLS 450/2012, PLS 203/2014, PLS 404/2014, PLS 484/2015, PLS 86/2016 e PLS 217/2016)",PLEN,113,APROVADO O SUBSTITUTIVO,,Senado Federal,Senado Federal,115926
115926,senado,2016-12-13T00:00:00Z,1,"Incluída em Ordem do Dia da sessão deliberativa de 13/12/2016.
      
      Discussão, em turno suplementar.
      Recebidas, na Secretaria-Geral da Mesa, as Emendas nºs 126 a 132, de 2016-Plen, do Senador Antonio Anastasia.
      Recebidas, na Secretaria-Geral da Mesa, as Emendas nºs 133 a 141, de 2016-Plen, do Senador Paulo Bauer; e nºs 142 a 144, de 2016-Plen, do Senador Jorge Viana.
      Recebidas, na Secretaria-Geral da Mesa, as Emendas nºs 145 a 151-Plen, de autoria do Senador Hélio José.
      Recebidas, na Secretaria-Geral da Mesa, as Emendas nºs 152 -Plen, de autoria do Senador Lasier Martins, 153 - Plen do Senador Lasier Martins e 154 - Plen, da Senadora Kátia Abreu.
      Recebidas, na Secretaria-Geral da Mesa, as Emendas nºs 155 e 156-Plen, de autoria do Senador Antonio Anastasia.",PLEN,78,INCLUÍDA EM ORDEM DO DIA,,Senado Federal,Senado Federal,115926
