prop_id,casa,data_hora,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,id_principal
491784,camara,2011-02-10T00:00:00Z,1,"Apresentação do Requerimento de Desarquivamento de Proposições n. 312/2011, pelo Deputado Carlos Zarattini (PT-SP), que: ""Requer o desarquivamento de proposições"".",PLEN,100,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=839033,491784
491784,camara,2011-02-10T00:00:00Z,4,Publicação inicial no DCD do dia 11/02/2011,SEPUB(SGM),604,NA,NA,491784
491784,camara,2011-02-10T14:41:00Z,2,Recebimento pela SEPRO.,SEPRO,500,NA,NA,491784
491784,camara,2011-02-10T14:47:00Z,3,Encaminhado à(ao) NAJUR(SGM) através da guia de Remessa (GR/SEPRO) nº 79/2011.,SEPRO,180,NA,NA,491784
491784,camara,2011-02-16T00:00:00Z,6,Despacho a Confirmar.,MESA,110,Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=840802,491784
491784,camara,2011-02-16T13:57:00Z,5,Recebimento pela NAJUR(SGM).,NAJUR(SGM),500,NA,NA,491784
491784,camara,2011-02-17T00:00:00Z,15,Publicação do despacho no DCD do dia 18/02/2011,SEPUB(SGM),605,NA,NA,491784
491784,camara,2011-02-17T00:00:00Z,16,Publicação do despacho no DCD do dia 18/02/11 PÁG 8323 COL 02.,SEPUB(SGM),605,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=938117,491784
491784,camara,2011-02-17T00:00:00Z,11,Realizar o Encaminhamento para CCP,SECAP(SGM),910,NA,NA,491784
491784,camara,2011-02-17T00:00:00Z,12,"Nos termos do parágrafo único do art. 105 do RICD, DEFIRO o pedido de desarquivamento das seguintes proposições: PDC 2825/2010, PDC 2767/2010, PDC 2826/2010, PL 1202/2007, PL 50/2007, PL 2858/2008, PL 5222/2009, PL 2872/2008, PL 4431/2008, PL 5638/2009, PL 4796/2009, PL 5279/2009, PL 5446/2009, PL 6279/2009, PL 6856/2010, PL 6857/2010, PL 7405/2010 e PL 7406/2010. DECLARO PREJUDICADO o pedido de desarquivamento das seguintes proposições: PEC 314/2008, PL 6871/2010 e PL 7362/2010, haja vista a(s) proposição(ões) já se encontrar(em) desarquivada(s). Publique-se.",MESA,640,Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=840802,491784
491784,camara,2011-02-17T15:09:00Z,7,Novo Despacho,SECAP(SGM),171,NA,NA,491784
491784,camara,2011-02-17T15:10:00Z,8,Despacho Chancelado,SGMGAB,180,NA,NA,491784
491784,camara,2011-02-17T15:10:00Z,10,Notificação à Sinopse de Despacho Chancelado,SECAP(SGM),1005,NA,NA,491784
491784,camara,2011-02-17T15:10:00Z,9,Encaminhamento de Chancela de Requerimento de Informações à SEPUB(SGM) para publicação.,MESA,604,Tramitação do Requerimento Finalizada,NA,491784
491784,camara,2011-02-17T15:12:00Z,14,Encaminhado à(ao) CCP através da guia de Remessa (GR/SECAP(SGM)) nº 56/2011.,SECAP(SGM),180,NA,NA,491784
491784,camara,2011-02-17T15:13:00Z,13,Encaminhamento de Despacho de Distribuição à CCP para publicação.,MESA,604,Tramitação do Requerimento Finalizada,NA,491784
491784,camara,2011-02-18T16:05:00Z,17,Recebimento pela CCP.,CCP,500,NA,NA,491784
