label,start,end,time_interval,group,color
ATA-PLEN,1999-08-31,1999-09-01,1,Local,#e2e3d9
SSCOM,1999-09-01,1999-09-10,9,Local,#e2e3d9
CAS,1999-09-10,1999-10-07,27,Local,NA
SSCLSF,1999-10-07,1999-10-19,12,Local,#e2e3d9
ATA-PLEN,1999-10-19,1999-10-20,1,Local,#e2e3d9
SGM,1999-10-20,1999-10-27,7,Local,#e2e3d9
SSCLSF,1999-10-27,1999-11-17,21,Local,#e2e3d9
ATA-PLEN,1999-11-17,1999-11-18,1,Local,#e2e3d9
CAS,1999-11-18,2001-12-18,761,Local,NA
SSCLSF,2001-12-18,2002-02-25,69,Local,#e2e3d9
ATA-PLEN,2002-02-25,2002-02-26,1,Local,#e2e3d9
SSCLSF,2002-02-26,2002-03-06,8,Local,#e2e3d9
ATA-PLEN,2002-03-06,2002-03-07,1,Local,#e2e3d9
SSEXP,2002-03-07,2002-03-08,1,Local,#e2e3d9
SSEXP,2002-03-08,2007-02-28,1818,Local,#e2e3d9
iniciativa,1999-08-31,1999-11-18,79,Fase,#7fc97f
relatoria,1999-11-18,2000-04-18,152,Fase,#fdc086
discussao_deliberacao,2000-04-18,2000-05-10,22,Fase,#beaed4
relatoria,2000-05-10,2000-08-02,84,Fase,#fdc086
discussao_deliberacao,2000-08-02,2000-08-10,8,Fase,#beaed4
relatoria,2000-08-10,2001-05-08,271,Fase,#fdc086
discussao_deliberacao,2001-05-08,2001-08-15,99,Fase,#beaed4
relatoria,2001-08-15,2001-11-05,82,Fase,#fdc086
discussao_deliberacao,2001-11-05,2002-03-12,127,Fase,#beaed4
virada_de_casa,2002-03-12,2007-02-28,1814,Fase,#ffff99
aprovacao_parecer,2001-06-20,2001-06-20,0,Evento,#a9a9a9
