label,start,end,group,color,time_interval
aprovacao_parecer,2006-12-06T09:30:00Z,2006-12-06T09:30:00Z,Evento,#a9a9a9,NA
aprovacao_parecer,2007-08-08T10:00:00Z,2007-08-08T10:00:00Z,Evento,#a9a9a9,NA
aprovacao_parecer,2016-07-05T14:30:00Z,2016-07-05T14:30:00Z,Evento,#a9a9a9,NA
requerimento_audiencia_publica,2016-11-29T18:02:00Z,2016-11-29T18:02:00Z,Evento,#a9a9a9,NA
requerimento_apensacao,2016-12-08T17:32:00Z,2016-12-08T17:32:00Z,Evento,#a9a9a9,NA
aprovacao_parecer,2016-12-13T14:30:00Z,2016-12-13T14:30:00Z,Evento,#a9a9a9,NA
aprovacao_audiencia_publica,2016-12-13T14:30:00Z,2016-12-13T14:30:00Z,Evento,#a9a9a9,NA
requerimento_apensacao,2016-12-21T16:30:00Z,2016-12-21T16:30:00Z,Evento,#a9a9a9,NA
requerimento_apensacao,2017-06-06T10:30:00Z,2017-06-06T10:30:00Z,Evento,#a9a9a9,NA
requerimento_apensacao,2017-08-08T14:25:00Z,2017-08-08T14:25:00Z,Evento,#a9a9a9,NA
requerimento_apensacao,2017-08-08T14:26:00Z,2017-08-08T14:26:00Z,Evento,#a9a9a9,NA
requerimento_apensacao,2017-08-08T14:27:00Z,2017-08-08T14:27:00Z,Evento,#a9a9a9,NA
requerimento_audiencia_publica,2018-06-20T10:11:00Z,2018-06-20T10:11:00Z,Evento,#a9a9a9,NA
aprovacao_parecer,2018-06-25T00:00:00Z,2018-06-25T00:00:00Z,Evento,#a9a9a9,NA
CD-MESA-PLEN,2002-03-13T00:00:00Z,2002-04-15T14:18:00Z,Local,NA,NA
CDC,2002-04-15T14:18:00Z,2004-05-19T09:54:00Z,Local,NA,NA
CMADS,2004-05-19T09:54:00Z,2006-05-05T10:51:00Z,Local,NA,NA
CSSF,2006-05-05T10:51:00Z,2006-12-21T10:23:00Z,Local,NA,NA
CAPADR,2006-12-21T10:23:00Z,2007-08-09T11:26:00Z,Local,NA,NA
CCJC,2007-08-09T11:26:00Z,2016-06-22T11:16:00Z,Local,NA,NA
Comissão Especial,2016-06-22T11:16:00Z,2018-07-16T19:51:33Z,Local,NA,NA
Recebimento,2002-04-15T14:18:00Z,2002-05-20T00:00:00Z,Situação na comissão,#5496cf,NA
Análise do relator,2002-05-20T00:00:00Z,2004-04-26T00:00:00Z,Situação na comissão,#ff9c37,NA
Encaminhamento,2004-04-26T00:00:00Z,2004-05-18T00:00:00Z,Situação na comissão,#ea81b1,NA
