label,start,end,time_interval,group,color
PLEG,2009-05-28,2009-05-29,1,Local,NA
CCJ,2009-05-29,2009-12-03,188,Local,#ffffcc
CAE,2009-12-03,2010-05-20,168,Local,#a1dab4
CCJ,2010-05-20,2010-06-24,35,Local,#ffffcc
CAE,2010-06-24,2013-05-27,1068,Local,#a1dab4
CDR,2013-05-27,2015-04-28,701,Local,#225ea8
CAE,2015-04-28,2016-05-18,386,Local,#a1dab4
PLEN,2016-05-18,2016-06-07,20,Local,#5496cf
iniciativa,2009-05-28,2009-07-15,48,Fase,#7fc97f
relatoria,2009-07-15,2009-11-13,121,Fase,#fdc086
discussao_deliberacao,2009-11-13,2009-12-03,20,Fase,#beaed4
relatoria,2009-12-03,2010-03-02,89,Fase,#fdc086
discussao_deliberacao,2010-03-02,2010-05-24,83,Fase,#beaed4
relatoria,2010-05-24,2010-06-15,22,Fase,#fdc086
discussao_deliberacao,2010-06-15,2010-07-08,23,Fase,#beaed4
relatoria,2010-07-08,2010-12-21,166,Fase,#fdc086
discussao_deliberacao,2010-12-21,2011-03-04,73,Fase,#beaed4
relatoria,2011-03-04,2012-06-18,472,Fase,#fdc086
discussao_deliberacao,2012-06-18,2013-06-13,360,Fase,#beaed4
relatoria,2013-06-13,2015-07-02,749,Fase,#fdc086
discussao_deliberacao,2015-07-02,2016-06-21,355,Fase,#beaed4
virada_de_casa,2016-06-21,2016-06-21,0,Fase,#ffff99
aprovacao_audiencia_publica,2010-03-02,2010-03-02,0,Evento,#a9a9a9
aprovacao_parecer,2009-11-25,2009-11-25,0,Evento,#a9a9a9
aprovacao_substitutivo,2016-06-07,2016-06-07,0,Evento,#a9a9a9
pedido_vista,2016-03-08,2016-03-08,0,Evento,#a9a9a9
