id_parlamentar,id_parlamentar_parlametria,partido_disciplina,partido_atual,casa,votos_validos,num_seguiu,disciplina,bancada_suficiente
22,222,PP,PP,senado,70,52,0.7428571428571429,TRUE
35,235,MDB,MDB,senado,40,36,0.9,TRUE
70,270,MDB,MDB,senado,33,20,0.6060606060606061,TRUE
90,290,PSDB,PSDB,senado,63,53,0.8412698412698413,TRUE
285,2285,MDB,MDB,senado,72,61,0.8472222222222222,TRUE
345,2345,PODEMOS,PODEMOS,senado,24,19,0.7916666666666666,TRUE
345,2345,REDE,PODEMOS,senado,49,32,0.6530612244897959,NA
374,2374,PT,PT,senado,78,77,0.9871794871794872,TRUE
470,2470,DEM,DEM,senado,66,58,0.8787878787878788,TRUE
475,2475,MDB,MDB,senado,73,66,0.9041095890410958,TRUE
581,2581,PT,PT,senado,74,73,0.9864864864864865,TRUE
677,2677,PSDB,PSDB,senado,68,55,0.8088235294117647,TRUE
739,2739,PP,PP,senado,71,66,0.9295774647887324,TRUE
742,2742,MDB,MDB,senado,77,70,0.9090909090909091,TRUE
751,2751,PSD,PSD,senado,54,43,0.7962962962962963,TRUE
825,2825,PT,PT,senado,74,73,0.9864864864864865,TRUE
945,2945,PODEMOS,PODEMOS,senado,71,55,0.7746478873239436,TRUE
1023,21023,DEM,DEM,senado,52,51,0.9807692307692307,TRUE
1173,21173,PL,PL,senado,72,60,0.8333333333333334,TRUE
1186,21186,PP,PP,senado,78,64,0.8205128205128205,TRUE
1249,21249,PDT,PP,senado,18,9,0.5,NA
1249,21249,PP,PP,senado,46,41,0.8913043478260869,TRUE
2331,22331,MDB,MDB,senado,11,6,0.5454545454545454,TRUE
2331,22331,PODEMOS,MDB,senado,51,36,0.7058823529411765,NA
3361,23361,MDB,MDB,senado,56,53,0.9464285714285714,TRUE
3396,23396,PSDB,PSDB,senado,72,67,0.9305555555555556,TRUE
3777,23777,MDB,MDB,senado,67,61,0.9104477611940298,TRUE
3806,23806,PSC,PSC,senado,67,67,1,FALSE
3830,23830,DEM,DEM,senado,12,12,1,TRUE
4525,24525,PROS,PROS,senado,59,44,0.7457627118644068,TRUE
4531,24531,DEM,DEM,senado,73,68,0.9315068493150684,TRUE
4545,24545,MDB,MDB,senado,72,61,0.8472222222222222,TRUE
4560,24560,PSD,PSD,senado,60,55,0.9166666666666666,TRUE
4770,24770,PSDB,PSDB,senado,76,66,0.868421052631579,TRUE
4981,24981,PDT,PDT,senado,67,47,0.7014925373134329,TRUE
4994,24994,MDB,MDB,senado,69,65,0.9420289855072463,TRUE
5008,25008,PT,PT,senado,73,72,0.9863013698630136,TRUE
5012,25012,REDE,REDE,senado,77,74,0.961038961038961,FALSE
5236,25236,PODEMOS,PODEMOS,senado,70,42,0.6,TRUE
