legislatura,id_entidade,id_entidade_parlametria,casa,nome,sexo,partido,uf,situacao,em_exercicio,is_parlamentar
51,73764,173764,camara,Abelardo Lupion,M,DEM,PR,Titular,0,1
51,73886,173886,camara,Adão Pretto,M,PT,RS,Titular,0,1
51,74328,174328,camara,Adauto Pereira,M,PFL,PB,Titular,0,1
51,74524,174524,camara,Adelson Ribeiro,M,PSC,SE,Suplente,0,1
51,74645,174645,camara,Ademir Lucas,M,PSDB,MG,Titular,0,1
51,74450,174450,camara,Adolfo Marinho,M,PSDB,CE,Titular,0,1
51,73996,173996,camara,Adroaldo Streck,M,PSDB,RS,Suplente,0,1
51,74646,174646,camara,Aécio Neves,M,PSDB,MG,Titular,1,1
51,73765,173765,camara,Affonso Camargo,M,PSDB,PR,Titular,0,1
51,74358,174358,camara,Agnaldo Muniz,M,PSC,RO,Suplente,0,1
51,73654,173654,camara,Agnelo Queiroz,M,PCdoB,DF,Titular,0,1
51,74340,174340,camara,Airton Cascavel,M,PPS,RR,Titular,0,1
51,73888,173888,camara,Airton Dipp,M,PDT,RS,Titular,1,1
51,73457,173457,camara,Airton Roveda,M,PR,PR,Suplente,0,1
51,74440,174440,camara,Albérico Cordeiro,M,PTB,AL,Titular,0,1
51,74018,174018,camara,Albérico Filho,M,PMDB,MA,Suplente,0,1
51,73579,173579,camara,Alberto Fraga,M,DEM,DF,Titular,0,1
51,73427,173427,camara,Alberto Goldman,M,PSDB,SP,Titular,0,1
51,74696,174696,camara,Alberto Mourão,M,PSDB,SP,Suplente,0,1
51,73979,173979,camara,Alceste Almeida,M,PTB,RR,Titular,0,1
51,73477,173477,camara,Alceu Collares,M,PDT,RS,Titular,0,1
51,74014,174014,camara,Alcione Athayde,F,PSB,RJ,Suplente,0,1
51,74828,174828,camara,Aldir Cabral,M,PFL,RJ,Suplente,0,1
51,73662,173662,camara,Aldo Arantes,M,PCdoB,GO,Suplente,0,1
51,73428,173428,camara,Aldo Rebelo,M,PCdoB,SP,Titular,0,1
51,73458,173458,camara,Alex Canziani,M,PTB,PR,Titular,0,1
51,74829,174829,camara,Alexandre Cardoso,M,PSB,RJ,Titular,0,1
51,74830,174830,camara,Alexandre Santos,M,PMDB,RJ,Titular,0,1
51,74451,174451,camara,Almeida De Jesus,M,PR,CE,Titular,0,1
51,74675,174675,camara,Almerinda De Carvalho,F,PMDB,RJ,Titular,0,1
51,74341,174341,camara,Sá,M,PR,RR,Efetivado,0,1
51,74697,174697,camara,Aloizio Mercadante,M,PT,SP,Titular,0,1
51,73581,173581,camara,Aloízio Santos,M,PSDB,ES,Suplente,0,1
51,73430,173430,camara,Aloysio Nunes Ferreira,M,PSDB,SP,Titular,0,1
51,74404,174404,camara,Alvaro Gaudencio Neto,M,PFL,PB,Suplente,0,1
51,74248,174248,camara,Ana Catarina,F,PMDB,RN,Titular,0,1
51,73686,173686,camara,Ana Corso,F,PT,RS,Suplente,0,1
51,74698,174698,camara,André Benassi,M,PSDB,SP,Titular,0,1
51,74471,174471,camara,André De Paula,M,PSD,PE,Titular,1,1
51,74699,174699,camara,Angela Guadagnin,F,PT,SP,Titular,0,1
51,74212,174212,camara,Aníbal Gomes,M,DEM,CE,Suplente,0,1
51,74072,174072,camara,Anivaldo Vale,M,PSDB,PA,Titular,0,1
51,74452,174452,camara,Antonio Cambraia,M,PSDB,CE,Titular,0,1
51,73492,173492,camara,Antonio Carlos Biscaia,M,PT,RJ,Suplente,0,1
51,73468,173468,camara,Antônio Carlos Konder Reis,M,PFL,SC,Titular,0,1
51,73584,173584,camara,Antonio Carlos Mendes Thame,M,PV,SP,Efetivado,0,1
51,73431,173431,camara,Antonio Carlos Pannunzio,M,PSDB,SP,Titular,0,1
51,73817,173817,camara,Antonio Cruz,M,PP**,MS,Titular,0,1
51,74647,174647,camara,Antônio Do Valle,M,PMDB,MG,Titular,0,1
51,73987,173987,camara,Antonio Feijão,M,PTC,AP,Suplente,0,1
51,74415,174415,camara,Antônio Geraldo,M,PFL,PE,Titular,0,1
51,73646,173646,camara,Antônio Joaquim,M,PSDB,MT,Titular,0,1
51,74194,174194,camara,Antonio Joaquim,M,PSDB,MA,Titular,0,1
51,74186,174186,camara,Antônio Jorge,M,PTB,TO,Titular,0,1
51,73589,173589,camara,Antônio José Mota,M,PMDB,CE,Suplente,0,1
51,73432,173432,camara,Antonio Kandir,M,PSDB,SP,Titular,0,1
51,74701,174701,camara,Antonio Palocci,M,PT,SP,Titular,0,1
51,74648,174648,camara,Aracely De Paula,M,PR,MG,Titular,0,1
51,74103,174103,camara,Ariosto Holanda,M,PDT,CE,Suplente,0,1
51,73681,173681,camara,Ariston Andrade,M,PFL,BA,Titular,0,1
51,73433,173433,camara,Arlindo Chinaglia,M,PT,SP,Titular,1,1
51,74217,174217,camara,Arlindo Vargas,M,PTB,RS,Suplente,0,1
51,74405,174405,camara,Armando Abílio,M,PTB,PB,Suplente,0,1
51,74472,174472,camara,Armando Monteiro,M,PTB,PE,Titular,0,1
51,73434,173434,camara,Arnaldo Faria De Sá,M,PP,SP,Titular,0,1
51,73993,173993,camara,Arnaldo Madeira,M,PSDB,SP,Titular,0,1
51,74291,174291,camara,Arnon Bezerra,M,PTB,CE,Titular,0,1
51,74833,174833,camara,Arolde De Oliveira,M,PSD,RJ,Titular,0,1
