casa,genero,id_parlamentar,nome_completo,nome_eleitoral,partido,uf
senado,Masculino,1350,Aarão Steinbruch,Aarão Steinbruch,NA,NA
senado,Masculino,4865,Abdala Karin Nabut,Abdala Karin Nabut,NA,NA
senado,Masculino,168,Abdias do Nascimento,Abdias Nascimento,NA,NA
senado,Masculino,5573,Abel Rebouças São José,Abel Rebouças,PDT,NA
senado,Masculino,2832,Abelardo de Araújo Jurema,Abelardo Jurema,NA,NA
senado,Masculino,5154,Abiancy Cadoso Rosa,Abiancy Cadoso Rosa,CIDADANIA,NA
senado,Masculino,1648,Francisco Accioly Rodrigues da Costa Filho,Accioly Filho,NA,NA
senado,Masculino,2833,Achiles Almeida Cruz,Achiles Cruz,NA,NA
senado,Masculino,4981,Acir Marcos Gurgacz,Acir Gurgacz,PDT,RO
senado,Masculino,2834,Acrísio Fúlvio de Miranda Corrêa,Acrísio Corrêa,NA,NA
senado,Feminino,4815,Ada Mercedes de Mello Marques Luz,Ada Mello,PTB,NA
senado,Masculino,1357,Adalberto Correia Sena,Adalberto Sena,NA,NA
senado,Feminino,3591,Adalgisa Carvalho Moraes Sousa,Adalgisa Carvalho,NA,NA
senado,Masculino,3622,Adelmir Santana,Adelmir Santana,DEM,NA
senado,Masculino,1,Ademir Galvão Andrade,Ademir Andrade,PSB,NA
senado,Masculino,1359,Aderbal de Araújo Jurema,Aderbal Jurema,NA,NA
senado,Masculino,5918,Adilson Gomes Silva,Adilson Gomes,NA,NA
senado,Masculino,5625,Adilson Silva dos Santos,Adilson Silva dos Santos,PEN,NA
senado,Masculino,3132,Adir Cardoso Gentil,Adir Gentil,NA,NA
senado,Masculino,1052,Adir Nichio,Adir Nichio,NA,NA
senado,Masculino,1361,Adolpho de Oliveira Franco,Adolpho Franco,NA,NA
senado,Masculino,1091,Aelton José de Freitas,Aelton Freitas,PL,NA
senado,Masculino,1362,Affonso Arinos de Mello Franco,Affonso Arinos,NA,NA
senado,Masculino,346,Affonso Alves de Camargo Neto,Affonso Camargo,NA,NA
senado,Masculino,6026,Afonso Valter Parente Pinto,Afonso Parente,NA,NA
senado,Masculino,4881,Afonso Sérgio Fernandes Ribeiro,Afonso Sérgio Fernandes Ribeiro,NA,NA
senado,Masculino,131,Afrânio Augusto Figueiredo,Afrânio Augusto Figueiredo,NA,NA
senado,Masculino,1366,Afrânio Salgado Lages,Afrânio Lages,NA,NA
senado,Masculino,1367,Agenor Nunes de Maria,Agenor Maria,NA,NA
senado,Masculino,5170,Agimiro Dias da Costa,Agimiro Dias da Costa,PSDB,NA
