ano,id_proposicao,id_votacao,orientacao,tipo_lideranca,partido_bloco,casa
NA,NA,2179189-59,Não,B,PslPpPsd...,camara
NA,NA,2179189-59,Não,P,NOVO,camara
NA,NA,2179189-59,Obstrução,P,PT,camara
NA,NA,2179189-59,Obstrução,P,PSOL,camara
NA,NA,2179189-59,Não,P,PPS,camara
NA,NA,2179189-59,Sim,P,PSB,camara
NA,NA,2179189-59,Não,B,PdtSdPode...,camara
NA,NA,2179189-45,Não,P,NOVO,camara
NA,NA,2179189-45,Não,P,PPS,camara
NA,NA,2179189-45,Liberado,B,PdtSdPode...,camara
NA,NA,2179189-45,Não,B,GOV.,camara
NA,NA,2179189-45,Obstrução,P,PT,camara
NA,NA,2179189-45,Não,B,PslPpPsd...,camara
NA,NA,2179189-45,Liberado,P,PSB,camara
NA,NA,2179189-45,Obstrução,P,PSOL,camara
NA,NA,2186805-6,Sim,B,PtbPros,camara
NA,NA,2186805-6,Obstrução,P,PSOL,camara
NA,NA,2186805-6,Sim,P,PDT,camara
NA,NA,2186805-6,Sim,P,PSD,camara
NA,NA,2186805-6,Obstrução,P,PT,camara
NA,NA,2186805-6,Sim,P,PSB,camara
NA,NA,2186805-6,Sim,P,PR,camara
NA,NA,2186805-6,Sim,P,PSDB,camara
NA,NA,2186805-6,Sim,B,PpAvante,camara
NA,NA,2186805-6,Sim,P,DEM,camara
NA,NA,2186805-6,Sim,P,PRB,camara
NA,NA,2186805-6,Sim,P,MDB,camara
NA,NA,2186805-6,Sim,P,Podemos,camara
NA,NA,2186805-6,Sim,P,PPS,camara
NA,NA,2186805-6,Sim,P,PCdoB,camara
NA,NA,2186805-6,Sim,B,GOV.,camara
NA,NA,2183943-68,Liberado,B,PdtSdPode...,camara
NA,NA,2183943-68,Sim,P,PR,camara
NA,NA,2183943-68,Sim,B,PslPpPsd...,camara
NA,NA,2183943-68,Sim,P,PPS,camara
NA,NA,2183943-68,Não,P,PSOL,camara
NA,NA,2183943-68,Não,P,PT,camara
NA,NA,2183943-68,Sim,P,PSB,camara
NA,NA,2183943-68,Sim,P,NOVO,camara
NA,NA,2083376-58,Obstrução,P,PT,camara
NA,NA,2083376-58,Obstrução,B,PslPpPsd...,camara
NA,NA,2083376-58,Não,B,GOV.,camara
NA,NA,2083376-58,Não,P,NOVO,camara
NA,NA,2083376-58,Obstrução,P,PSOL,camara
NA,NA,2083376-58,Não,P,PPS,camara
NA,NA,2083376-58,Não,P,PSB,camara
NA,NA,2083376-58,Obstrução,B,PdtSdPode...,camara
NA,NA,2083376-58,Não,P,Patriota,camara
NA,NA,2083376-47,Não,B,GOV.,camara
NA,NA,2083376-47,Não,P,PPS,camara
NA,NA,2083376-47,Não,P,NOVO,camara
NA,NA,2083376-47,Não,P,PR,camara
NA,NA,2083376-47,Obstrução,B,PslPpPsd...,camara
NA,NA,2083376-47,Não,P,PSB,camara
NA,NA,2083376-47,Obstrução,P,PT,camara
NA,NA,2083376-47,Obstrução,B,PdtSdPode...,camara
NA,NA,2083376-47,Obstrução,P,PSOL,camara
NA,NA,2083376-47,Obstrução,B,Minoria,camara
NA,NA,2192300-10,Sim,P,PSOL,camara
NA,NA,2192300-10,Sim,P,NOVO,camara
NA,NA,2192300-10,Sim,B,Minoria,camara
NA,NA,2192300-10,Sim,P,REDE,camara
NA,NA,2192300-10,Sim,P,PT,camara
NA,NA,2192300-10,Liberado,B,GOV.,camara
NA,NA,2192300-10,Sim,B,Oposição,camara
NA,NA,2192300-10,Liberado,B,PslPpPsd...,camara
NA,NA,2192300-10,Sim,P,Patriota,camara
NA,NA,2192300-10,Sim,B,PdtSdPode...,camara
NA,NA,2192300-10,Sim,P,PSB,camara
NA,NA,2192300-10,Sim,P,PPS,camara
NA,NA,2190880-37,Não,P,PT,camara
NA,NA,2190880-37,Liberado,B,PslPpPsd...,camara
NA,NA,2190880-37,Não,P,NOVO,camara
NA,NA,2190880-37,Não,P,PSB,camara
NA,NA,2190880-37,Não,P,PPS,camara
NA,NA,2190880-37,Não,B,PdtSdPode...,camara
NA,NA,2190880-37,Não,P,PSOL,camara
NA,NA,2190880-37,Não,P,Patriota,camara
NA,NA,2160860-213,Sim,P,Patriota,camara
NA,NA,2160860-213,Não,P,PPS,camara
NA,NA,2160860-213,Sim,P,NOVO,camara
NA,NA,2160860-213,Não,P,PSOL,camara
NA,NA,2160860-213,Não,P,PT,camara
NA,NA,2160860-213,Não,P,PSB,camara
NA,NA,2160860-213,Sim,B,PslPpPsd...,camara
NA,NA,2160860-213,Não,B,PdtSdPode...,camara
NA,NA,2160860-202,Não,P,PPS,camara
NA,NA,2160860-202,Sim,P,PT,camara
NA,NA,2160860-202,Não,P,Patriota,camara
NA,NA,2160860-202,Sim,B,Minoria,camara
NA,NA,2160860-202,Não,B,GOV.,camara
NA,NA,2160860-202,Sim,B,PdtSdPode...,camara
NA,NA,2160860-202,Não,B,PslPpPsd...,camara
NA,NA,2160860-202,Sim,P,PSB,camara
NA,NA,2160860-202,Sim,P,PSOL,camara
NA,NA,2160860-202,Não,P,NOVO,camara
NA,NA,2160860-198,Não,P,PPS,camara
NA,NA,2160860-198,Obstrução,P,PSOL,camara
NA,NA,2160860-198,Não,B,PslPpPsd...,camara
NA,NA,2160860-198,Não,B,PdtSdPode...,camara
NA,NA,2160860-198,Obstrução,P,PT,camara
NA,NA,2160860-198,Não,P,NOVO,camara
NA,NA,2160860-198,Sim,P,PSB,camara
NA,NA,2160860-190,Sim,P,PPS,camara
NA,NA,2160860-190,Sim,B,GOV.,camara
NA,NA,2160860-190,Sim,B,PslPpPsd...,camara
NA,NA,2160860-190,Não,P,PSOL,camara
NA,NA,2160860-190,Sim,P,Patriota,camara
NA,NA,2160860-190,Não,P,PSB,camara
NA,NA,2160860-190,Sim,P,NOVO,camara
NA,NA,2160860-190,Não,P,PT,camara
NA,NA,2160860-190,Liberado,B,PdtSdPode...,camara
NA,NA,2160860-187,Sim,P,PPS,camara
NA,NA,2160860-187,Sim,P,NOVO,camara
NA,NA,2160860-187,Não,P,PSB,camara
NA,NA,2160860-187,Não,P,PSOL,camara
NA,NA,2160860-187,Sim,B,PslPpPsd...,camara
NA,NA,2160860-187,Não,B,PdtSdPode...,camara
NA,NA,2160860-187,Não,P,PT,camara
NA,NA,2160860-187,Sim,P,Patriota,camara
NA,NA,2160860-184,Liberado,B,PdtSdPode...,camara
NA,NA,2160860-184,Sim,P,PPS,camara
NA,NA,2160860-184,Não,B,Minoria,camara
NA,NA,2160860-184,Sim,P,NOVO,camara
NA,NA,2160860-184,Obstrução,P,PT,camara
NA,NA,2160860-184,Sim,B,GOV.,camara
NA,NA,2160860-184,Sim,B,PslPpPsd...,camara
NA,NA,2160860-184,Não,P,PSB,camara
NA,NA,2160860-184,Obstrução,P,PSOL,camara
NA,NA,2160860-184,Sim,P,Patriota,camara
NA,NA,2160860-181,Não,P,NOVO,camara
NA,NA,2160860-181,Não,B,PslPpPsd...,camara
NA,NA,2160860-181,Sim,B,Oposição,camara
NA,NA,2160860-181,Liberado,B,PdtSdPode...,camara
NA,NA,2160860-181,Não,B,GOV.,camara
NA,NA,2160860-181,Sim,P,PT,camara
NA,NA,2160860-181,Sim,P,PSOL,camara
NA,NA,2160860-181,Sim,B,Minoria,camara
NA,NA,2160860-181,Sim,P,PSB,camara
NA,NA,2160860-181,Não,P,PPS,camara
NA,NA,2160860-181,Não,P,Patriota,camara
NA,NA,2160860-178,Obstrução,P,PT,camara
NA,NA,2160860-178,Não,P,PSB,camara
NA,NA,2160860-178,Não,B,Minoria,camara
NA,NA,2160860-178,Não,P,Patriota,camara
NA,NA,2160860-178,Liberado,B,PdtSdPode...,camara
NA,NA,2160860-178,Não,P,PPS,camara
NA,NA,2160860-178,Obstrução,P,PSOL,camara
NA,NA,2160860-178,Não,B,PslPpPsd...,camara
NA,NA,2160860-178,Não,B,Oposição,camara
NA,NA,2160860-178,Não,P,NOVO,camara
NA,NA,2160860-176,Sim,B,PslPpPsd...,camara
NA,NA,2160860-176,Liberado,B,Minoria,camara
NA,NA,2160860-176,Sim,P,Patriota,camara
NA,NA,2160860-176,Não,B,Oposição,camara
NA,NA,2160860-176,Sim,B,GOV.,camara
NA,NA,2160860-176,Não,P,PT,camara
NA,NA,2160860-176,Não,P,PROS,camara
NA,NA,2160860-176,Não,P,PSOL,camara
NA,NA,2160860-176,Não,P,PSB,camara
NA,NA,2160860-176,Liberado,B,PdtSdPode...,camara
NA,NA,2160860-176,Sim,P,NOVO,camara
NA,NA,2160860-176,Sim,P,PPS,camara
NA,NA,2160860-173,Não,P,NOVO,camara
NA,NA,2160860-173,Obstrução,B,PslPpPsd...,camara
NA,NA,2160860-173,Sim,P,PSB,camara
NA,NA,2160860-173,Obstrução,P,PT,camara
NA,NA,2160860-173,Liberado,B,PdtSdPode...,camara
NA,NA,2160860-173,Obstrução,P,PSOL,camara
NA,NA,2160860-173,Não,P,PPS,camara
NA,NA,2160860-173,Não,P,Patriota,camara
NA,NA,2160860-168,Não,B,Minoria,camara
NA,NA,2160860-168,Sim,B,PslPpPsd...,camara
NA,NA,2160860-168,Sim,B,GOV.,camara
NA,NA,2160860-168,Obstrução,P,PSOL,camara
NA,NA,2160860-168,Não,P,PSB,camara
NA,NA,2160860-168,Sim,P,PPS,camara
NA,NA,2160860-168,Não,B,PdtSdPode...,camara
NA,NA,2160860-168,Sim,P,NOVO,camara
NA,NA,2160860-168,Sim,P,Patriota,camara
NA,NA,2160860-168,Não,P,PT,camara
NA,NA,2160860-165,Sim,P,PSB,camara
NA,NA,2160860-165,Não,B,GOV.,camara
NA,NA,2160860-165,Não,B,PslPpPsd...,camara
NA,NA,2160860-165,Sim,P,PT,camara
NA,NA,2160860-165,Sim,P,PSOL,camara
NA,NA,2160860-165,Não,P,NOVO,camara
NA,NA,2160860-165,Sim,B,PdtSdPode...,camara
NA,NA,2160860-165,Não,P,PPS,camara
NA,NA,2160860-131,Não,P,PPS,camara
NA,NA,2160860-131,Obstrução,P,PSOL,camara
NA,NA,2160860-131,Não,P,PR,camara
NA,NA,2160860-131,Obstrução,P,PSB,camara
NA,NA,2160860-131,Não,P,PSC,camara
NA,NA,2160860-131,Obstrução,P,REDE,camara
NA,NA,2160860-131,Obstrução,P,PCdoB,camara
NA,NA,2160860-131,Não,P,PSDB,camara
NA,NA,2160860-131,Não,P,MDB,camara
NA,NA,2160860-131,Não,P,Patriota,camara
NA,NA,2160860-131,Não,P,PSD,camara
NA,NA,2160860-131,Não,P,DEM,camara
NA,NA,2160860-131,Não,P,Solidaried,camara
NA,NA,2160860-131,Obstrução,P,PT,camara
NA,NA,2160860-131,Obstrução,P,PDT,camara
NA,NA,2160860-131,Obstrução,B,Minoria,camara
NA,NA,2160860-131,Obstrução,B,Oposição,camara
NA,NA,2160860-131,Não,B,PtbPros,camara
NA,NA,2160860-131,Não,B,PpPodeAvante,camara
NA,NA,2160860-118,Não,P,PPS,camara
NA,NA,2160860-118,Não,P,PSDB,camara
NA,NA,2160860-118,Não,P,PR,camara
NA,NA,2160860-118,Não,P,PRB,camara
NA,NA,2160860-118,Liberado,B,Oposição,camara
NA,NA,2160860-118,Obstrução,P,PSB,camara
NA,NA,2160860-118,Liberado,B,Minoria,camara
NA,NA,2160860-118,Obstrução,P,Patriota,camara
NA,NA,2160860-118,Não,P,PSC,camara
NA,NA,2160860-118,Obstrução,P,PSOL,camara
NA,NA,2160860-118,Obstrução,P,PDT,camara
NA,NA,2160860-118,Obstrução,P,PT,camara
NA,NA,2160860-118,Não,P,Solidaried,camara
NA,NA,2160860-118,Obstrução,B,PtbPros,camara
NA,NA,2160860-118,Não,P,PSL,camara
NA,NA,2160860-118,Não,P,DEM,camara
